p.geomean	stat.mean	p.val	q.val	set.size	GSM155179.CEL	GSM155181.CEL	GSM155183.CEL	GSM155185.CEL	GSM155187.CEL
Type I diabetes mellitus	0.0517375468646091	1.44316829996268	0.00087586188105452	0.010853071134806	31	0.0896589208566273	0.0404131922704024	0.239578856700052	0.126280973843368	0.0198458890398792
Alzheimer disease	0.0526066463146812	1.39972263467826	0.000938651456672921	0.0111464860479909	114	0.0384687742698575	0.00387727803507774	0.0298206590933066	0.554071895993179	0.219727777782673
Aminoacyl-tRNA biosynthesis	0.0585895274466516	1.42620132554166	0.000983574540076625	0.0112127497568735	27	0.021324812045111	0.0686191238165185	0.0195441957050404	0.377611371203106	0.150880196032682
Valine, leucine and isoleucine degradation	0.0528960780307485	1.40880912186808	0.00103377905597285	0.0113318088827793	38	0.0677929260564167	0.0162490133619065	0.0899893143886951	0.427081263505736	0.041584857233586
Pyruvate metabolism	0.067432085082304	1.36936728670043	0.0014341885098031	0.0151386564923661	26	0.149315362394892	0.0138670836423191	0.0424842231697507	0.395340667987471	0.0751521248998602
Porphyrin and chlorophyll metabolism	0.0872912450622039	1.35112949957574	0.00157203332214788	0.0160010534575766	21	0.0951175183486447	0.0325457692541699	0.106469522116434	0.116057908019604	0.15653697640121
NOD-like receptor signaling pathway	0.0713238500603969	1.32102497093077	0.00165572609159521	0.0162717909001598	111	0.0284138390994813	0.134756388219195	0.0551428880397836	0.286147942593314	0.081135999948582
Measles	0.070817790775702	1.31594711379682	0.00172126934004697	0.0163520587304462	105	0.0162458467109312	0.0813818201161268	0.173319419139095	0.340874027429528	0.0489060454324807
Allograft rejection	0.0647058002600371	1.32354229102339	0.00201807644193272	0.0185532834177686	31	0.134690820436666	0.060256079015219	0.278113017499884	0.106563343717016	0.0262609715657968
Autoimmune thyroid disease	0.0736597927469755	1.25527077698305	0.00305942746168619	0.0269195505897001	34	0.275526802146435	0.0559986859554297	0.287830665815393	0.0887313762565918	0.0208738351147067
Propanoate metabolism	0.077837972965007	1.26088538127154	0.00311700059459685	0.0269195505897001	22	0.107506314222295	0.0271375804838845	0.0693303013254715	0.478313636535935	0.0783286173533731
Cytosolic DNA-sensing pathway	0.104475673668877	1.19487136809747	0.00412205159396344	0.0345524913023406	39	0.0498595365920087	0.0758197733826809	0.178435069017084	0.252807035279324	0.107400563593152
PPAR signaling pathway	0.107408366868486	1.16229868345476	0.0050751015089353	0.0413258265727589	40	0.240089787900456	0.0998471881990468	0.37644349729692	0.0418648515684433	0.0431288706469083
Progesterone-mediated oocyte maturation	0.113311655185304	1.12382752868487	0.0062817722380479	0.0497306968845459	64	0.148060578308707	0.0361402169828279	0.44081449185856	0.173830467366182	0.0493853698070798
Pyrimidine metabolism	0.126451903690337	1.0980424756184	0.0078822869880156	0.0607149132860661	31	0.0620746586317231	0.172305881267065	0.0666320265657077	0.274351643334613	0.207580030868091
Viral myocarditis	0.0990337817161706	1.06903757104162	0.00930726288298225	0.0698044716223669	43	0.1374484916545	0.0960803226627832	0.382280746795937	0.263891497946274	0.0265030430753292
Biosynthesis of unsaturated fatty acids	0.134045136409822	1.07878475919771	0.00982484511862236	0.071796945097625	12	0.203354682477558	0.0929473224957315	0.370159658745781	0.0985528472907724	0.0745259246811013
Toxoplasmosis	0.115208988762044	1.00206831384125	0.0130951024648993	0.0933026050624074	85	0.107434599292777	0.178498992904498	0.282028509354323	0.159867299647212	0.107781812023797
