Term	n	N	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Non-alcoholic fatty liver disease (NAFLD)	25	149	1.43191811281431e-06	3.4105685959759e-05	3.33391513735324	44.8628146261101	NDUFB9;NDUFB8;CXCL8;NDUFB10;UQCRB;NDUFA12;NDUFB11;COX4I1;NDUFB2;TNF;COX5A;CASP8;UQCRFS1;NDUFV2;NDUFA5;NDUFA4;NDUFA2;NDUFA1;COX6C;NFKB1;NDUFS8;NDUFS5;NDUFAB1;NDUFS3;FAS
Epstein-Barr virus infection	30	201	1.71993822091706e-06	3.65576745620323e-05	2.90664549572689	38.5805514802991	PSMD12;CDKN1B;HDAC1;RBPJ;CD3D;TNF;HLA-DMA;CCND2;CASP8;SIN3A;E2F3;HLA-DPA1;USP7;GADD45B;STAT2;TAP1;TYK2;HLA-F;NFKB1;NFKB2;SEM1;PSMC5;PSMC3;PSMC1;BCL2;FAS;TAB2;CD247;HLA-DRB1;CD44
Human immunodeficiency virus 1 infection	31	212	1.81393041720007e-06	3.65576745620323e-05	2.83859160181741	37.5262223223048	RNF7;SAMHD1;CD3D;TNF;CRKL;CASP8;GNG2;AP1G1;CFL1;PTK2B;ELOB;ELOC;PAK2;AP1M1;MAP2K1;TAP1;HLA-F;NFKB1;RBX1;DDB1;CUL4A;RPS6KB1;GNB1;RPS6KB2;BCL2;FAS;TAB2;CD247;CALM1;RAF1;ATR
Pathways in cancer	55	530	1.96254276454426e-05	0.000367275860221855	1.92996465756042	20.9182780265553	ITGB1;CDKN1B;HSP90AB1;CXCL8;ARAF;CRKL;FRAT2;CCND2;CASP8;TFG;ELOB;ELOC;PIM2;PRKACB;NCOA1;MAP2K1;IL4R;GSTO1;TPM3;NCOA4;FLT3LG;RBX1;TGFBR2;EML4;IL6ST;RAF1;BIRC2;PTGER4;ROCK1;TERC;HDAC1;LPAR2;STK4;RASGRP1;HSP90B1;RXRB;GNG2;TPR;E2F3;CAMK2G;STAT5B;GADD45B;STAT2;NFKB1;NFKB2;RPS6KB1;LPAR6;IL2RB;GNB1;RPS6KB2;BCL2;CTNNB1;FAS;CALM1;IL7R
Phagosome	23	152	2.15340454505227e-05	0.000376127993869129	2.94233214388253	31.6179345033399	ITGB1;ATP6V1G1;ATP6V0E1;TFRC;TUBB;TAP1;HLA-F;THBS1;TUBA4A;ACTG1;TUBA1C;SEC61A1;DYNC1LI2;TUBA1B;HLA-DMA;TUBA1A;TUBB2A;HGS;SEC61G;ATP6V0D1;ATP6V0C;HLA-DRB1;HLA-DPA1
RNA transport	24	165	2.80789295064513e-05	0.000459792470668141	2.80963737770183	29.44637953832	EIF2B5;UPF2;NUP107;NXT1;EIF1AX;EIF4A3;THOC1;UPF3B;RANGAP1;EIF1;FXR1;PNN;EIF2S3;EIF5;SUMO1;NUP50;TPR;STRAP;EIF3H;RNPS1;EIF3F;EIF3D;EIF3A;EIF3B
RNA degradation	15	79	4.06269451325109e-05	0.000626132919101051	3.85405264886165	38.968630950316	HSPA9;BTG3;LSM1;TENT4B;TOB1;PATL1;HSPD1;LSM2;EDC4;CNOT4;EXOSC6;XRN1;CNOT1;CNOT2;CNOT8
Human T-cell leukemia virus 1 infection	28	219	6.89260246110105e-05	0.00100325658044915	2.42189956362254	23.2077962243042	CD3D;TNF;ELK4;POLB;HLA-DMA;CCND2;TSPO;E2F3;BUB3;PRKACB;HLA-DPA1;STAT5B;MAP2K1;MAP3K1;HLA-F;NFKB1;NFKB2;TGFBR2;KAT2B;CDC16;IL2RB;VDAC3;VDAC2;VDAC1;SLC25A5;HLA-DRB1;ATR;SLC25A6
Protein processing in endoplasmic reticulum	23	165	8.01878619723498e-05	0.00110574841246082	2.67110688824304	25.1915787482845	PPP1R15A;HSPA8;TRAM1;SEC24B;HSP90AB1;SSR4;EIF2AK1;SSR2;UBE2D3;NGLY1;DDOST;RBX1;HSP90B1;HERPUD1;SEC61A1;SELENOS;SEC61G;DNAJB11;BCL2;UBQLN1;STT3B;P4HB;UBQLN2
Cell cycle	19	124	9.16849875276151e-05	0.00120107333661176	2.9795129299523	27.7009843126731	CDKN1B;GADD45B;YWHAB;HDAC1;SMC3;CDC14A;RBX1;RBL2;CCND2;STAG2;YWHAQ;RAD21;CDC16;E2F3;MCM6;BUB3;YWHAG;ATR;YWHAH
Viral carcinogenesis	26	201	0.000101679279051089	0.00126857005292312	2.45228243021346	22.5455171516547	CDKN1B;YWHAB;HDAC1;UBE3A;RBPJ;GTF2E2;POLB;CCND2;CASP8;YWHAQ;PRKACB;YWHAG;YWHAH;STAT5B;USP7;HLA-F;NFKB1;NFKB2;DDB1;RBL2;KAT2B;PSMC1;VDAC3;REL;ATP6V0D1;IL6ST
Tight junction	22	170	0.000334589119900906	0.00398465224609261	2.44844624360043	19.5939537500662	ITGB1;ACTR3;MAP3K1;ROCK1;HSPA4;MSN;ARHGEF18;F11R;YBX3;TUBA4A;ACTG1;MYL12B;RAP2C;PPP2CA;SLC9A3R1;TUBA1C;MYL6;TUBA1B;TUBA1A;MYH9;HCLS1;PRKACB
Ferroptosis	9	40	0.000377089199992961	0.00429553784339808	4.75744633022367	37.5030864058587	TFRC;FTH1;NCOA4;SLC11A2;VDAC3;ACSL5;VDAC2;SLC3A2;SAT2
Necroptosis	21	162	0.00044189897867534	0.00482406385053913	2.45194036559784	18.9398398965473	STAT5B;HSP90AB1;MLKL;STAT2;TYK2;CFLAR;TNF;CASP8;FTH1;VDAC3;BCL2;VDAC2;FAS;VDAC1;RBCK1;SLC25A5;SQSTM1;CAMK2G;BIRC2;CHMP5;SLC25A6
Hepatitis B	21	163	0.000480210556316631	0.00503260663019829	2.43454299742115	18.6030390578408	STAT5B;MAP2K1;CXCL8;MAP3K1;YWHAB;STAT2;ARAF;TYK2;TNF;NFKB1;TGFBR2;DDB1;CASP8;YWHAQ;VDAC3;BCL2;PTK2B;FAS;TAB2;E2F3;RAF1
Endocytosis	27	244	0.000945797974323963	0.00922446934131216	2.05090330736919	14.2814273817252	TFRC;WIPF1;ARPC5L;CYTH4;UBB;KIF5C;EPS15;LDLR;CYTH1;SNX6;WASHC3;USP8;HSPA8;IST1;ARAP2;HLA-F;ARFGAP3;IGF2R;EPN1;TGFBR2;EHD1;HGS;RAB35;IL2RB;SMAP2;VPS28;CHMP5
Cellular senescence	20	160	0.000950613252730643	0.00922446934131216	2.34991833144867	16.35167936053	MAP2K1;CXCL8;GADD45B;HLA-F;NFKB1;ZFP36L1;TGFBR2;RBL2;PPP1CC;CCND2;VDAC3;VDAC2;VDAC1;E2F3;RAF1;CALM1;SLC25A5;SQSTM1;ATR;SLC25A6
Measles	18	138	0.00102148291181916	0.00948706496129296	2.46571553994732	16.9801497511337	STAT5B;HSPA8;CDKN1B;EIF2AK1;STAT2;MSN;ADAR;TYK2;CD3D;NFKB1;CCND2;CASP8;IL2RB;BCL2;RACK1;FAS;EIF3H;TAB2
Thyroid cancer	8	37	0.00105009497663166	0.00948706496129296	4.51703130158158	30.9817515552876	RXRB;MAP2K1;TFG;GADD45B;TPM3;TPR;NCOA4;CTNNB1
Shigellosis	11	65	0.00116232278571836	0.010150952328607	3.3397808803568	22.5680178160771	ITGB1;CXCL8;ROCK1;ARPC5L;RHOG;HCLS1;CD44;VCL;NFKB1;CRKL;ACTG1
Chronic myeloid leukemia	12	76	0.00132601362289459	0.0112069538451091	3.07516375545852	20.3747376738868	STAT5B;MAP2K1;CDKN1B;GADD45B;HDAC1;ARAF;E2F3;PTPN11;RAF1;NFKB1;CRKL;TGFBR2
Apoptosis	18	143	0.00154181091005006	0.0122764475150302	2.36645478489903	15.3223158511938	MAP2K1;GADD45B;DIABLO;CFLAR;TNF;TUBA4A;NFKB1;ACTG1;TUBA1C;TUBA1B;CASP8;TUBA1A;BCL2;CASP2;FAS;RAF1;CTSC;BIRC2
Hepatitis C	19	155	0.0015877855109655	0.0122764475150302	2.29655355112168	14.8022406927888	MAP2K1;YWHAB;EIF2AK1;STAT2;ARAF;TYK2;CFLAR;TNF;NFKB1;PPP2CA;CASP8;YWHAQ;FAS;CTNNB1;E2F3;RAF1;LDLR;YWHAG;YWHAH
Human papillomavirus infection	33	330	0.00159312677675964	0.0122764475150302	1.83333333333333	11.8104372238739	PTGER4;ITGB1;CDKN1B;HDAC1;UBE3A;RBPJ;TNF;THBS1;PPP2CA;SLC9A3R1;CCND2;CASP8;PPP2R3C;PRKACB;ATP6V1G1;MAP2K1;ATP6V0E1;CSNK1A1;STAT2;TYK2;HLA-F;NFKB1;RBL2;RPS6KB1;PSMC1;IRF1;RPS6KB2;CTNNB1;FAS;ATP6V0D1;RAF1;ATP6V0C;ATR
Vibrio cholerae infection	9	50	0.00205583580772251	0.0153893994749514	3.59518143961927	22.2436492768463	SEC61A1;ATP6V1G1;ATP6V0E1;KDELR1;SEC61G;ATP6V0D1;PRKACB;ATP6V0C;ACTG1
Influenza A	20	171	0.00214428592684595	0.0156056364676011	2.17745082621282	13.3803235874072	HSPA8;MAP2K1;CXCL8;NXT1;EIF2AK1;STAT2;ADAR;TYK2;TNF;NFKB1;ACTG1;HLA-DMA;HNRNPUL1;FAS;VDAC1;RAF1;HLA-DRB1;KPNA1;HLA-DPA1;SLC25A6
Retrograde endocannabinoid signaling	18	148	0.00227062855583311	0.0160785049088723	2.27482947254677	13.8484761701815	NDUFB9;NDUFB8;NDUFB10;NDUFA5;NDUFA12;NDUFB11;NDUFA4;NDUFA2;NDUFB2;NDUFA1;NDUFS8;GNG2;NDUFS5;GNB1;NDUFAB1;NDUFS3;NDUFV2;PRKACB
p53 signaling pathway	11	72	0.00271576224995546	0.0187244660391666	2.95542585758018	17.462673369688	COP1;CASP8;CCND2;SESN3;GADD45B;ZMAT3;CCNG1;BCL2;FAS;THBS1;ATR
Human cytomegalovirus infection	24	225	0.00286879344359185	0.0192724072364375	1.96461645874774	11.5005970519204	PTGER4;MAP2K1;CXCL8;ROCK1;CCL3L3;TAP1;HLA-F;TNF;NFKB1;CRKL;AKAP13;CASP8;GNG2;RPS6KB1;GNB1;CCL4;RPS6KB2;CTNNB1;FAS;PTK2B;E2F3;CALM1;RAF1;PRKACB
Th17 cell differentiation	14	107	0.00344391798844427	0.02255766282431	2.46944938334321	14.0046067716025	STAT5B;IL4R;HSP90AB1;TYK2;CD3D;NFKB1;TGFBR2;RXRB;HLA-DMA;IL2RB;CD247;IL6ST;HLA-DRB1;HLA-DPA1
HIF-1 signaling pathway	13	100	0.00499635252105753	0.0319279112321237	2.44984326018809	12.9818348932925	MAP2K1;PFKFB3;PDHA1;CDKN1B;TFRC;NFKB1;RBX1;RPS6KB1;RPS6KB2;BCL2;ELOB;ELOC;CAMK2G
Leukocyte transendothelial migration	14	112	0.00521354511207081	0.0325225909372037	2.34283214598175	12.3150859551508	ITGB1;ITK;ROCK1;MSN;RHOH;PTPN11;F11R;ACTG1;MYL12B;PTK2B;CTNNB1;VCL;CD99;SIPA1
Kaposi sarcoma-associated herpesvirus infection	20	186	0.00562252085321592	0.0341891539399409	1.97910375009272	10.2536873786853	ATG3;GABARAPL2;MAP2K1;CXCL8;STAT2;TYK2;HLA-F;NFKB1;CASP8;GNG2;CLEC2B;UBB;GNB1;FAS;CTNNB1;E2F3;IL6ST;RAF1;CALM1;MICB
Oocyte meiosis	15	125	0.00574168997464657	0.0341891539399409	2.23686514886165	11.542227951367	MAP2K1;YWHAB;SMC3;REC8;RBX1;PPP2CA;PPP1CC;SLK;YWHAQ;CDC16;CALM1;PRKACB;CAMK2G;YWHAG;YWHAH
Th1 and Th2 cell differentiation	12	92	0.00666565445661408	0.0388089215029531	2.45803493449782	12.3166898324021	STAT5B;HLA-DMA;IL4R;MAF;IL2RB;TYK2;CD247;RBPJ;CD3D;NFKB1;HLA-DRB1;HLA-DPA1
ErbB signaling pathway	11	85	0.00971575644705671	0.0553375693288882	2.43454318192538	11.281688528748	STAT5B;MAP2K1;CDKN1B;RPS6KB1;RPS6KB2;ARAF;NCK2;RAF1;PAK2;CAMK2G;CRKL
Salmonella infection	11	86	0.0105757489347794	0.0589541749130255	2.40195462478185	10.9269521276275	DYNC1LI2;CXCL8;ROCK1;CCL3L3;CCL4;ARPC5L;RHOG;MYH9;PKN2;NFKB1;ACTG1
Type I diabetes mellitus	7	43	0.0110256760413528	0.0601818150590505	3.17992753623188	14.3336141265593	HLA-DMA;FAS;HLA-F;TNF;HLA-DRB1;HSPD1;HLA-DPA1
Ubiquitin mediated proteolysis	15	137	0.0129834573816498	0.0675524773380882	2.01555367345181	8.75572487186591	MAP3K1;UBA7;UBE2D3;UBE3A;RNF7;RBX1;DDB1;CUL4A;COP1;UBE2Q2;CDC16;ELOB;TRIP12;ELOC;BIRC2
Non-small cell lung cancer	9	66	0.0133454205383619	0.0675524773380882	2.58380707867229	11.1532150854601	EML4;RXRB;STAT5B;MAP2K1;GADD45B;ARAF;E2F3;RAF1;STK4
Toxoplasmosis	13	113	0.013589573353697	0.0675524773380882	2.12988636363636	9.15521524829802	ITGB1;HSPA8;TYK2;TNF;NFKB1;HLA-DMA;CASP8;BCL2;TAB2;LDLR;HLA-DRB1;BIRC2;HLA-DPA1
Ribosome biogenesis in eukaryotes	12	101	0.0136651957973995	0.0675524773380882	2.20840979343506	9.4804893174716	NOP56;FBL;NOP58;NXT1;XRN1;UTP4;IMP3;DKC1;HEATR1;GAR1;WDR75;SNU13
T cell receptor signaling pathway	12	101	0.0136651957973995	0.0675524773380882	2.20840979343506	9.4804893174716	ITK;MAP2K1;NCK2;CD247;RAF1;ICOS;TNF;RASGRP1;CD3D;PAK2;CARD11;NFKB1
PI3K-Akt signaling pathway	31	354	0.0143515064951176	0.0696313833652001	1.57856243366749	6.69926168060066	ITGB1;CDKN1B;HSP90AB1;YWHAB;LPAR2;THBS1;HSP90B1;PPP2CA;CCND2;GNG2;YWHAQ;PPP2R3C;YWHAG;YWHAH;MAP2K1;IL4R;FLT3LG;NFKB1;RBL2;RPS6KB1;LPAR6;CDC37;GNB1;RPS6KB2;IL2RB;BCL2;PKN2;SGK1;RAF1;IL7R;PIK3AP1
NOD-like receptor signaling pathway	18	178	0.0150965594669794	0.0719145196427017	1.84533582089552	7.73802531214942	GABARAPL2;CXCL8;HSP90AB1;STAT2;TYK2;TNF;TANK;NFKB1;CASP8;ATG16L1;VDAC3;BCL2;VDAC2;VDAC1;TAB2;RBCK1;GBP2;BIRC2
mRNA surveillance pathway	11	91	0.0157794110336771	0.0738251016218465	2.25123254799302	9.34047480004769	UPF2;PPP2CA;PNN;PPP1CC;NXT1;PPP2R3C;EIF4A3;PAPOLA;UPF3B;ETF1;RNPS1
Renal cell carcinoma	9	69	0.0175352156960361	0.0801210428076886	2.45422473867596	9.92376594884444	MAP2K1;ARAF;ELOB;PTPN11;ELOC;RAF1;PAK2;CRKL;RBX1
Hepatocellular carcinoma	17	168	0.0177367194001753	0.0801210428076886	1.84596258859068	7.44313943472587	MAP2K1;GADD45B;PHF10;TERC;GSTO1;CSNK1A1;ARAF;SMARCA2;ACTG1;TGFBR2;FRAT2;RPS6KB1;RPS6KB2;CTNNB1;E2F3;RAF1;BRD7
FoxO signaling pathway	14	132	0.0206247342258923	0.0909058593324609	1.94366594006258	7.54388109379651	GABARAPL2;USP7;MAP2K1;CDKN1B;GADD45B;ARAF;STK4;TGFBR2;RBL2;CCND2;S1PR1;RAF1;IL7R;SGK1
Allograft rejection	6	38	0.0208511047514341	0.0909058593324609	3.06434622067767	11.860087328183	HLA-DMA;FAS;HLA-F;TNF;HLA-DRB1;HLA-DPA1
NF-kappa B signaling pathway	11	95	0.0211651046537409	0.0909058593324609	2.14357392171528	8.26433802817266	CXCL8;GADD45B;CCL4;BCL2;TAB2;CFLAR;TNF;CARD11;BIRC2;NFKB1;NFKB2
Transcriptional misregulation in cancer	18	186	0.022588658300618	0.0954552979800308	1.75671014674527	6.65847137009386	CEBPB;CXCL8;CDKN1B;GADD45B;HDAC1;JMJD1C;KLF3;NFKB1;TGFBR2;ELK4;RXRB;CCND2;MAF;EWSR1;SIN3A;ID2;IL2RB;REL
Proteoglycans in cancer	19	201	0.0242862192389059	0.099540097435743	1.71188609281755	6.36452920332512	ITGB1;MAP2K1;ROCK1;ARAF;MSN;PTPN11;TNF;THBS1;ACTG1;PPP1CC;RPS6KB1;RPS6KB2;HCLS1;CTNNB1;FAS;RAF1;PRKACB;CAMK2G;CD44
Hematopoietic cell lineage	11	97	0.0243151383049143	0.099540097435743	2.09350014205122	7.78082017189567	HLA-DMA;IL4R;TFRC;CD7;FLT3LG;IL7R;TNF;CD3D;HLA-DRB1;CD44;HLA-DPA1
