p.geomean	stat.mean	p.val	q.val	set.size	EC2_08.signal	EC2_07.signal	EC2_06.signal	EC2_05.signal	EC2_04.signal	EC2_03.signal	EC2_02.signal	EC2_01.signal
C-type lectin receptor signaling pathway	0.0865183572021131	-1.09950942110867	0.00109330919090762	0.00550942082476979	48	0.0297934476852667	0.199178622885253	0.0204081649585932	0.156210522578931	0.192561376701668	0.0985874932424417	0.124848201437873	0.665632713210466
Pathogenic Escherichia coli infection	0.100953275579375	-1.08658612246611	0.00129459797444279	0.00639830152753454	31	0.0448364453151882	0.241322316472331	0.101329297245031	0.235551364065405	0.106684929169606	0.0645065473041466	0.09898186038362	0.469057382629812
Cell cycle	0.108092409424036	-1.06974083986416	0.00134923914679566	0.00654253699483932	61	0.0458693749833079	0.242846547145702	0.129824875957768	0.111951537655124	0.100773128317692	0.110212815087812	0.0479111290463032	0.658808446064857
Shigellosis	0.103896293826797	-1.06458427888363	0.0015543857544787	0.00739772479446346	33	0.0347692685286242	0.233918868312782	0.223928220342928	0.228352820462666	0.223102917851562	0.076128138069993	0.0799093856500571	0.23582727013777
Primary immunodeficiency	0.114684146654949	-1.0499501346825	0.00198296471371739	0.00921906709861514	17	0.0300314457213281	0.256886369396704	0.205555232940374	0.13070633902536	0.123003694030521	0.0555815371280306	0.164236125401142	0.524037791122257
B cell receptor signaling pathway	0.106505648461463	-1.03418014025274	0.00200882395923131	0.00921906709861514	37	0.0888579373200653	0.424608432454533	0.0743827372913989	0.0797653245714858	0.195945328862913	0.067066379939971	0.0580734054054136	0.570286812172241
Hepatocellular carcinoma	0.133962779610584	-1.00899420330936	0.00227814397226911	0.010271631594266	68	0.0858866131546727	0.126461765465088	0.10844763802078	0.150297553470057	0.250614396658612	0.0759870114184985	0.126866431398724	0.500990787520745
Renal cell carcinoma	0.124400987769251	-1.01270936683939	0.00232671688317496	0.0103097627409649	39	0.0868696099591664	0.234782992016187	0.0340901686695069	0.178321740909971	0.109265176383071	0.232652988370724	0.167713109803843	0.400588299441081
Chronic myeloid leukemia	0.126124755964728	-1.01006570435441	0.00238141073779903	0.0103732637222771	40	0.0802681172388158	0.24360141206787	0.0406724638447893	0.195140809470443	0.162806453664223	0.100867604728842	0.161418509406319	0.48590753448851
FoxO signaling pathway	0.131136346651487	-0.997050013058789	0.00255247229713622	0.0107901992290565	64	0.0486809733744252	0.198690614473614	0.0784849138143143	0.274044922702006	0.271234006737352	0.144952426987527	0.121265815523833	0.286241083724518
MAPK signaling pathway	0.124062029926089	-0.991982251713855	0.00259422718641888	0.0107901992290565	125	0.0855752999799417	0.269991375289363	0.0443120958777203	0.226651455014467	0.119846635413908	0.131465375847993	0.113172476035951	0.513292985197606
Apelin signaling pathway	0.120843729944927	-0.997853794361575	0.00260308308249613	0.0107901992290565	48	0.0991205933650377	0.223962446369617	0.23326256690872	0.273082791890794	0.171838238314035	0.09138617081789	0.0556078848324184	0.256703841389115
Chagas disease (American trypanosomiasis)	0.11026338093467	-0.989682457488555	0.0029119531663965	0.0117430049453207	43	0.133605334894828	0.237290725078456	0.032366799509278	0.209467669670061	0.191364643425021	0.0859701543509452	0.166945368290882	0.454465228497416
JAK-STAT signaling pathway	0.140074456669264	-0.979975387299364	0.00292432807976859	0.0117430049453207	70	0.132981208528735	0.272425279734111	0.121365050739215	0.101551680984914	0.141732116278366	0.14862155122398	0.0687162668555754	0.485498958470564
Autophagy	0.132040109119299	-0.974484937886592	0.0031221915892864	0.0123446652068708	60	0.0505828453689086	0.181660025751552	0.068172184423052	0.331935091848769	0.0987511728341645	0.0785663363691436	0.348068200210256	0.433145001734342
Hepatitis C	0.114012895760573	-0.963510621160956	0.00341331234314104	0.0132912313967765	71	0.0776319126886358	0.18896561735567	0.0530788519880945	0.141042610691921	0.144295738537379	0.102615579974224	0.0924691626392916	0.840505321004898
Natural killer cell mediated cytotoxicity	0.101714468534672	-0.934394777055713	0.00449212116826228	0.0172309722424389	68	0.195190338078803	0.311280854608924	0.148517012717839	0.145096558089249	0.273232076031836	0.0918870427664941	0.0457814827672747	0.375039606874991
Rap1 signaling pathway	0.123572980769729	-0.915624522559501	0.0050274009440778	0.0190006182739411	83	0.148864888456783	0.337460756850733	0.101662944847169	0.118889016421722	0.244898582232751	0.239752094733638	0.0892949240123481	0.266330755559078
Glioma	0.138266520053629	-0.914301100965858	0.00542346967836465	0.0202004595266625	36	0.0876605805972417	0.233447911784622	0.107613587378217	0.0886575149589883	0.267611359171392	0.231644122990116	0.125175829788758	0.487453133377339
Dopaminergic synapse	0.147165530682344	-0.904929415111264	0.00558291574302609	0.0204972763708243	50	0.0501949404627214	0.182905268364451	0.0809712470346995	0.332652739698723	0.33585080314395	0.165280230198402	0.103784197281126	0.443747675348019
Inflammatory mediator regulation of TRP channels	0.131463664572693	-0.9032572820886	0.0058935633508007	0.0212996408193577	36	0.0482754347344591	0.108875213627461	0.077434208514722	0.319868547792983	0.28162382739232	0.190614770673878	0.10811673225636	0.637562826348815
VEGF signaling pathway	0.146797990221085	-0.902104508310752	0.00596721454861384	0.0212996408193577	32	0.0457316937982209	0.24134221602839	0.112906422970526	0.286699626563392	0.322646633025504	0.228120602684663	0.135258090289544	0.261196552709121
Thyroid cancer	0.169350279719486	-0.887718667195815	0.0068062932372548	0.0237366782544758	22	0.163394891591196	0.147412432546468	0.123096036552128	0.23435878332329	0.257079254582734	0.224412340493086	0.123133103449576	0.309585564667144
Vascular smooth muscle contraction	0.152919436949959	-0.879880697806206	0.0068346855674366	0.0237366782544758	42	0.0662806568814277	0.353782949832698	0.143717830230233	0.344743492205108	0.203730179315178	0.135001719996007	0.0795437647426261	0.385011152048905
Apoptosis	0.137034723577746	-0.869207547005653	0.00732665875263415	0.0249198242609163	75	0.0915957137334194	0.319060372478613	0.0863429818574897	0.0898546368656293	0.10325263532121	0.101159919463409	0.317683013057019	0.730808646288562
Th1 and Th2 cell differentiation	0.122344820869056	-0.876223217871319	0.00736928655186629	0.0249198242609163	49	0.153876403908742	0.428401137731981	0.183066338828113	0.23011207094714	0.196574571416083	0.109235589903077	0.0872541490335963	0.270003993011972
Fluid shear stress and atherosclerosis	0.127818116834297	-0.862883336950238	0.00778059294296759	0.0255959871883853	66	0.0641656191860829	0.412041254676367	0.201910854416973	0.0966504908909551	0.19979155630149	0.159468053908846	0.109172060439114	0.542430386523095
Glucagon signaling pathway	0.158609069464315	-0.863160498263888	0.00780896026260319	0.0255959871883853	42	0.0969697116561967	0.180100534120175	0.153757451623248	0.344134233513672	0.333649454252474	0.240439654485381	0.12793318421483	0.175734979779757
Tuberculosis	0.12812865363991	-0.860552076208552	0.00786802719020404	0.0255959871883853	79	0.112563352448031	0.211876193563529	0.0998634356255688	0.317371380575952	0.163847066440158	0.158683367058989	0.200710326996678	0.404185464334324
Focal adhesion	0.139092577755525	-0.855188848501696	0.0081039941585857	0.0260340812344566	82	0.10453033613742	0.466361505125048	0.0698464567093284	0.322349345143236	0.141128015942437	0.0873151682926002	0.241054933483796	0.349822752621663
Antigen processing and presentation	0.100919745357166	-0.855527085770232	0.00845346895938716	0.0268215002785494	56	0.108148221402637	0.35702711540685	0.276511224239562	0.219770363409875	0.299703918502972	0.0687529821207231	0.102603351183294	0.305016971714955
Endocytosis	0.113836273794792	-0.843271581178353	0.00892854192914944	0.0279833570218464	104	0.154845307258485	0.659678924394929	0.112093121241592	0.376986141420815	0.0952640932809643	0.0346176155009535	0.0676436009203002	0.521258485842045
HIF-1 signaling pathway	0.153430594589702	-0.833500717371688	0.00973073623118943	0.0301301109809119	55	0.0316163370570432	0.457492159404957	0.130854652709972	0.168572534286097	0.163158233745792	0.183889532795716	0.250631626049008	0.496956156034663
Protein processing in endoplasmic reticulum	0.126295326471553	-0.826516019784811	0.0101495411527286	0.0307749223258507	80	0.117186257455133	0.566041607590681	0.183214578200912	0.0667102784838335	0.0983429091200756	0.0561762579723386	0.0939438496854531	0.85503402296147
Parathyroid hormone synthesis, secretion and action	0.167058198492653	-0.829107443609484	0.0101784762556315	0.0307749223258507	40	0.0674343318784	0.47979281379235	0.161306531766353	0.269062978454171	0.137644618241178	0.440817779043038	0.103953838372658	0.181065682980225
Pancreatic cancer	0.173221489633068	-0.827082883409815	0.0103146687493721	0.0308240682394025	37	0.107451269813174	0.161747993226869	0.0866753617853336	0.191673401873613	0.263864137980668	0.198660116343555	0.200798903455988	0.591133859530936
Cholinergic synapse	0.175709392220261	-0.823330477826391	0.0105070018723334	0.0310379250711459	41	0.226781840938896	0.242856497620212	0.138659454685901	0.250128359669924	0.405365944005658	0.146160293657201	0.0823069879924939	0.261759837996423
Neurotrophin signaling pathway	0.16230157127152	-0.818713599733319	0.0107628926148433	0.0314325386592583	64	0.0569333228256957	0.20617405910318	0.187223897713643	0.408721405391668	0.271338934070401	0.238125467743313	0.0728698948648082	0.418461644415726
Endometrial cancer	0.185129230807314	-0.816194333472121	0.0112586672102683	0.0322319853388103	30	0.0852143151232542	0.323023363353131	0.0761080626278189	0.274840144311582	0.281414106200573	0.285911863066992	0.138318324252098	0.358999109757673
Prostate cancer	0.1639033154963	-0.814183947482266	0.0112874656828519	0.0322319853388103	46	0.0983502939853561	0.382655607330084	0.120075965542129	0.243551364964754	0.27177843711857	0.192369304788592	0.0921123011997008	0.425900002741718
Insulin signaling pathway	0.189325407475175	-0.755649274267304	0.0167437189157491	0.0472872061686542	69	0.0814743288614507	0.111912954211306	0.132614118040792	0.532428198518087	0.334171833616742	0.247397058316135	0.205162136318836	0.331802789619694
Acute myeloid leukemia	0.198631465022313	-0.752362748536428	0.0175085967710677	0.0489098844583088	36	0.0765504874432153	0.539599392179148	0.166583951120093	0.418225738480286	0.241143869461201	0.123776396209889	0.141614130666013	0.29898841528
Breast cancer	0.198896405740431	-0.73493690577767	0.0194745562813783	0.0538167845625186	50	0.167447978899304	0.186561956575641	0.0799894431389984	0.187140999029489	0.347071387205468	0.184481549397563	0.198384757747933	0.672815029067239
Salmonella infection	0.179642664449783	-0.729176820471352	0.0207204665464606	0.0563127114482464	39	0.169632028277467	0.355905440952202	0.253533959073414	0.266175201120473	0.226138568994762	0.252412153853704	0.1379575729665	0.258991091253859
Dilated cardiomyopathy (DCM)	0.205504480275927	-0.729070801993755	0.0208159828310638	0.0563127114482464	29	0.28542366160892	0.308080508782342	0.210200790746992	0.323129161347602	0.28318398757776	0.250152571828422	0.139514242920583	0.135818648345633
Circadian entrainment	0.197077133633932	-0.716007512553936	0.0229105410008817	0.0613334274711103	29	0.224923935704191	0.369123185898864	0.294542907673108	0.113820717006738	0.266412625677205	0.294266453408995	0.0492994940104175	0.501728901340911
Type I diabetes mellitus	0.153989872748979	-0.72052272844953	0.023536581112764	0.0623598076905189	26	0.271019171457045	0.530206994769933	0.175625441088598	0.187251714810557	0.255163150296858	0.0476198470130648	0.121586293149864	0.59163118230296
NOD-like receptor signaling pathway	0.185117685874295	-0.70288702353834	0.024081977148519	0.0631537563996876	69	0.106815407890697	0.387851234708403	0.160499411685225	0.247884829853928	0.093424261930009	0.168604798492628	0.247703587673123	0.717279841851856
cAMP signaling pathway	0.175070419031472	-0.701461811710972	0.0243973899763291	0.0633346386254199	72	0.0531876467388333	0.26194717299627	0.0371020321879124	0.480546628195862	0.227663284836323	0.250247114343261	0.350733071827104	0.624276366162929
Axon guidance	0.203915928308838	-0.698788499164841	0.0246505939618896	0.0633520264820562	62	0.204467501179916	0.111677477048295	0.127105977190948	0.453375070313846	0.289250785442676	0.176774793030252	0.148161370357926	0.605561761198722
Gastric acid secretion	0.210272064464067	-0.697225088048942	0.025657649456482	0.0651354229520194	29	0.153895677451282	0.299175656527217	0.121743799693498	0.317643429283948	0.171516716375827	0.331814783751822	0.184934255155673	0.482027689618384
Citrate cycle (TCA cycle)	0.183288374674288	-0.713563270476359	0.026091557326918	0.0651354229520194	14	0.215927643820319	0.394553676580744	0.322731523777631	0.0544167801995803	0.236307728424256	0.174550121976417	0.0969797028989729	0.718642325516018
Human papillomavirus infection	0.177462830494108	-0.688452647347786	0.0261048582259066	0.0651354229520194	138	0.175542397858025	0.206019275719586	0.110634828587351	0.312359860093987	0.169447774912377	0.09388135937541	0.277599317712656	0.798867939885909
Estrogen signaling pathway	0.184317167870088	-0.690493747245978	0.0264196969436517	0.0651604989720404	56	0.111039474198586	0.277419473149903	0.178167220017976	0.381617850825091	0.394831189012679	0.228950074676362	0.147686554422758	0.349795165474792
AGE-RAGE signaling pathway in diabetic complications	0.190048467915114	-0.689851995974445	0.0266219937434406	0.0651604989720404	46	0.116099496543896	0.459102172798716	0.0930384851059091	0.418946916818174	0.333960226561361	0.082819740212531	0.163211954210642	0.561115814733474
Tight junction	0.206228931907326	-0.673562381850445	0.0290243464855885	0.0703703494980777	70	0.336682594002009	0.3810088391798	0.170460896503431	0.263956749297139	0.135055275384563	0.118887998533852	0.255825659723105	0.454913702332713
Allograft rejection	0.172311935000661	-0.683028940727518	0.0296922989116052	0.0713170170119863	24	0.304292816496262	0.454635792129916	0.231831581574187	0.168875497561653	0.356393375225388	0.0572448101837729	0.180148819354293	0.43888737101559
Hedgehog signaling pathway	0.216855401514684	-0.683472247769665	0.0301164034899958	0.0716658860826752	14	0.240312536224253	0.43041272035439	0.368467715300227	0.143779281998102	0.0436240491276289	0.184656634125387	0.340683020146609	0.493468757939548
Oocyte meiosis	0.184026818429815	-0.664554359468623	0.0310659471972305	0.073247233299892	58	0.0723330531800934	0.28356661609021	0.206725089675169	0.28675352241636	0.341901361299806	0.17370099285275	0.190200059058533	0.640466611095587
RNA polymerase	0.208753673179243	-0.665634656286901	0.0331562540798766	0.0774650663502572	18	0.279181875976019	0.10104887121215	0.539967081647157	0.182997122444142	0.579813473626713	0.147887777068438	0.0408900083602771	0.522024832523395
Long-term depression	0.231103543838188	-0.645273378985659	0.0364534057396248	0.0844011286043565	18	0.178927887460518	0.296484089415495	0.133341718973661	0.50641642302829	0.383529978433716	0.209908505092499	0.201089804988186	0.279880464477648
mRNA surveillance pathway	0.186890550753955	-0.637408251647302	0.0370442259632361	0.0847093670260914	49	0.0799648044336357	0.132291387427852	0.120871609472505	0.328702199111415	0.300276231655588	0.258073416011167	0.304955451922005	0.778285909868984
Transcriptional misregulation in cancer	0.216911862852916	-0.633562633973827	0.0372457528169196	0.0847093670260914	73	0.107519866387659	0.644670973569362	0.235181366127009	0.436080058632116	0.105771608881981	0.283391551192689	0.13691040211553	0.35322025921489
Phosphatidylinositol signaling system	0.213282186308768	-0.633678659218367	0.037858261190544	0.0848835826185773	39	0.146988851639564	0.323111527331243	0.095360027056817	0.185276814923497	0.453666312609626	0.220588701710945	0.124719889965773	0.7664155753212
Non-small cell lung cancer	0.217514519967627	-0.633642055255392	0.0381265446173478	0.0848835826185773	37	0.0982805106241375	0.444072010147522	0.0690401250036184	0.354313643597205	0.313343506651027	0.269356422689693	0.179104786623762	0.615733977790259
Osteoclast differentiation	0.192416586880035	-0.630895454747752	0.0383132123881516	0.0848835826185773	64	0.199018788596012	0.340548976791131	0.119873085829131	0.323768269700371	0.302342921853623	0.201529062626024	0.121287751625719	0.656635355925186
Intestinal immune network for IgA production	0.230125851338016	-0.632760834276504	0.0390872914405284	0.0858584094035539	21	0.153311613555392	0.194889253064572	0.234746645176189	0.407030319878472	0.545565515932008	0.110781621945606	0.297154078397192	0.308340353734136
Prion diseases	0.217326794766942	-0.634132492941709	0.0407846107225253	0.088827499624483	15	0.0979634104885569	0.414346501720088	0.170479603227243	0.437089167637445	0.306880084590482	0.187062821863831	0.193645456601399	0.480911904603251
Hematopoietic cell lineage	0.216309901344416	-0.603106717890854	0.0453728831152116	0.0969491814842234	36	0.229727912832219	0.115011113597479	0.449599470089242	0.224523592376691	0.474666963549937	0.218609554505341	0.201172143193412	0.388736525168577
