Term	n	N	P.value	Adjusted.P.value	Odds.Ratio	Combined.Score	Genes
Renal cell carcinoma	8	69	8.00538614537685e-06	0.000158652198153832	8.94489981785064	104.971941316103	RAP1B;CDC42;NRAS;SLC2A1;RAPGEF1;KRAS;PIK3R1;ETS1
Influenza A	12	171	9.59063748539267e-06	0.000166360732187574	5.19399415360085	60.015164733284	MAP2K3;NFKBIA;DNAJC3;NXF1;PRKCB;IFNGR1;CCL5;NUP98;PIK3R1;HLA-DRB3;ACTB;JAK1
Viral carcinogenesis	13	201	9.92059412127736e-06	0.000166360732187574	4.76858882790768	54.9384242847794	HLA-B;HLA-A;PIK3R1;YWHAZ;RHOA;HLA-E;NFKBIA;CDC42;NRAS;HNRNPK;PMAIP1;KRAS;JAK1
Rap1 signaling pathway	13	206	1.29116287979919e-05	0.000201052505568731	4.64386019517018	52.2777090792979	MAP2K3;PRKCB;PIK3R1;ITGAL;ACTB;RHOA;RAP1B;CDC42;NRAS;RAPGEF1;GNAS;KRAS;CALM2
Allograft rejection	6	38	1.85136421217771e-05	0.000269064932169827	12.7189655172414	138.598601400027	PRF1;HLA-B;GZMB;HLA-A;HLA-DRB3;HLA-E
Kaposi sarcoma-associated herpesvirus infection	12	186	2.23276132040603e-05	0.000304213729905322	4.7425934919864	50.791688951847	NFKBIA;GABARAPL1;NRAS;PPP3CC;IFNGR1;HLA-B;KRAS;HLA-A;PIK3R1;CALM2;HLA-E;JAK1
Cellular senescence	11	160	2.72972322053134e-05	0.000350046860044607	5.06546567761686	53.2315870457445	MAP2K3;NRAS;PPP3CC;HLA-B;KRAS;HLA-A;PIK3R1;ETS1;CALM2;ZFP36L2;HLA-E
Type I diabetes mellitus	6	43	3.84241378564663e-05	0.000465359002928314	10.9973904939422	111.808541373564	PRF1;HLA-B;GZMB;HLA-A;HLA-DRB3;HLA-E
Leukocyte transendothelial migration	9	112	4.37388820003618e-05	0.000501846119793625	5.96762626433477	59.8986945927309	RAP1B;CDC42;PRKCB;CXCR4;PIK3R1;EZR;ITGAL;ACTB;RHOA
Proteasome	6	45	5.00784320278604e-05	0.000545854909103678	10.4323607427056	103.300402956483	PSMB4;PSMD6;POMP;PSMC2;PSME1;PSMB9
Neurotrophin signaling pathway	9	119	7.03667256743395e-05	0.000730473628428858	5.58587266392144	53.4109416763495	RAP1B;NFKBIA;CDC42;NRAS;RAPGEF1;KRAS;PIK3R1;CALM2;RHOA
B cell receptor signaling pathway	7	71	8.57332507138699e-05	0.00084953857525562	7.43295847750865	69.6042287290022	NFKBIA;NRAS;PPP3CC;CD81;PRKCB;KRAS;PIK3R1
Autoimmune thyroid disease	6	53	0.00012783573145691	0.00121166041120028	8.65311812179017	77.5731658603484	PRF1;HLA-B;GZMB;HLA-A;HLA-DRB3;HLA-E
C-type lectin receptor signaling pathway	8	104	0.000157818928491474	0.00143352193379755	5.67361111111111	49.6671445898375	NFKBIA;NRAS;PPP3CC;CBLB;KRAS;PIK3R1;CALM2;RHOA
RNA transport	10	165	0.000179916215796225	0.00156886940174308	4.40988044213851	38.0264840893282	NXF1;SUMO3;SUMO2;EIF4EBP2;NUP98;PABPC1;KPNB1;EIF4G2;EIF4B;RAN
VEGF signaling pathway	6	59	0.00023295956031143	0.00195327631338045	7.6711776187378	64.1666827318277	CDC42;NRAS;PPP3CC;PRKCB;KRAS;PIK3R1
Regulation of actin cytoskeleton	11	214	0.000362683661838579	0.00289965580727662	3.70773485437732	29.3725997251868	CDC42;GNA13;DIAPH1;NRAS;CXCR4;KRAS;PIK3R1;EZR;ITGAL;ACTB;RHOA
Pathways in cancer	19	530	0.000372432855980483	0.00289965580727662	2.57629621256544	20.341027692554	PRKCB;IFNGR1;MAX;SLC2A1;CXCR4;PIK3R1;ETS1;RHOA;NFKBIA;GNA13;CDC42;NRAS;STAT4;GNAS;PMAIP1;KRAS;CALM2;SKP1;JAK1
Sphingolipid signaling pathway	8	119	0.000397147288666955	0.00298545203204814	4.90315315315315	38.3975893587383	GNA13;NRAS;PRKCB;KRAS;PIK3R1;PPP2R5C;S1PR5;RHOA
Th1 and Th2 cell differentiation	7	92	0.000433831481614319	0.00315250876639739	5.59059637695909	43.2871737027374	NFKBIA;PPP3CC;IFNGR1;STAT4;HLA-DRB3;RUNX3;JAK1
GnRH signaling pathway	7	93	0.000463301079213132	0.00318461831578381	5.52530779753762	42.4185252374402	MAP2K3;CDC42;NRAS;PRKCB;GNAS;KRAS;CALM2
Long-term potentiation	6	67	0.000467466908738908	0.00318461831578381	6.6624081401922	51.088558145209	RAP1B;NRAS;PPP3CC;PRKCB;KRAS;CALM2
Chemokine signaling pathway	10	190	0.00055441447875344	0.00366249564752273	3.79254079254079	28.4349462396519	RAP1B;NFKBIA;CDC42;NRAS;PRKCB;CCL5;CXCR4;KRAS;PIK3R1;RHOA
Hepatitis B	9	163	0.000739898158177556	0.00474405289655021	3.98094936422463	28.6986560259812	MAP2K3;NFKBIA;NRAS;PRKCB;STAT4;KRAS;PIK3R1;YWHAZ;JAK1
Pathogenic Escherichia coli infection	5	55	0.00130418063749353	0.0080405544115152	6.75395189003436	44.8609661869888	CDC42;EZR;YWHAZ;ACTB;RHOA
Apoptosis	8	143	0.00132779797621352	0.0080405544115152	4.02654320987654	26.6727618798829	NFKBIA;NRAS;PRF1;PMAIP1;GZMB;KRAS;PIK3R1;ACTB
Thyroid hormone signaling pathway	7	116	0.00171056187938603	0.0100784456677339	4.35430621250119	27.7409947872711	NRAS;MED13;PRKCB;SLC2A1;KRAS;PIK3R1;ACTB
Long-term depression	5	60	0.00192837545489204	0.0110627855043807	6.13839425179631	38.3715773571048	GNA13;NRAS;PRKCB;GNAS;KRAS
Oxytocin signaling pathway	8	153	0.00203659965340434	0.0113840698574909	3.74693486590038	23.2177833462079	NRAS;PPP3CC;PRKCB;GNAS;KRAS;CALM2;ACTB;RHOA
Proteoglycans in cancer	9	201	0.00313794004198736	0.0171017732288311	3.18684668989547	18.3695857802917	CDC42;NRAS;PRKCB;KRAS;PIK3R1;EZR;ACTB;RHOA;EIF4B
AGE-RAGE signaling pathway in diabetic complications	6	100	0.00372446846244237	0.0193317648764866	4.31621423330888	24.1398573363399	CDC42;DIAPH1;NRAS;PRKCB;KRAS;PIK3R1
Inflammatory mediator regulation of TRP channels	6	100	0.00372446846244237	0.0193317648764866	4.31621423330888	24.1398573363399	MAP2K3;PRKCH;PRKCB;GNAS;PIK3R1;CALM2
Insulin signaling pathway	7	137	0.00434538923186484	0.0220301128499194	3.64700558956614	19.8347502707377	NRAS;MKNK2;RAPGEF1;CBLB;KRAS;PIK3R1;CALM2
MAPK signaling pathway	11	295	0.00467791699970796	0.0227796740944324	2.63923894242649	14.1592592141083	MAP2K3;RAP1B;CDC42;NRAS;PPP3CC;DUSP10;PRKCB;DUSP1;MAX;MKNK2;KRAS
Fluid shear stress and atherosclerosis	7	139	0.00470222630389659	0.0227796740944324	3.5913809374017	19.2487933673554	DUSP1;SUMO3;SUMO2;PIK3R1;CALM2;ACTB;RHOA
Leishmaniasis	5	74	0.00481174088382064	0.0228034676668022	4.8894367249365	26.0934390268953	NFKBIA;IFNGR1;PRKCB;HLA-DRB3;JAK1
Gastric acid secretion	5	75	0.00509438549096904	0.0230650940981005	4.81934216985763	25.4442771369091	PRKCB;GNAS;EZR;CALM2;ACTB
Glioma	5	75	0.00509438549096904	0.0230650940981005	4.81934216985763	25.4442771369091	NRAS;PRKCB;KRAS;PIK3R1;CALM2
Th17 cell differentiation	6	107	0.0051843560128758	0.0230650940981005	4.0156367360874	21.1307208076804	NFKBIA;PPP3CC;IFNGR1;RORA;HLA-DRB3;JAK1
Cell adhesion molecules (CAMs)	7	145	0.0059059084439128	0.0257497608154598	3.4341808334587	17.6235360626246	PTPRC;CD8A;HLA-B;HLA-A;HLA-DRB3;ITGAL;HLA-E
Ras signaling pathway	9	232	0.00789412003485126	0.0337434934823054	2.73947282073718	13.2635332324289	RAP1B;CDC42;NRAS;PRKCB;KRAS;PIK3R1;CALM2;ETS1;RHOA
Hepatitis C	7	155	0.0084042975471318	0.0352334012552833	3.20050500327317	15.295252108615	NFKBIA;NRAS;CD81;KRAS;PIK3R1;YWHAZ;JAK1
ErbB signaling pathway	5	85	0.00859676762315415	0.0353602894688227	4.21477663230241	20.0470329332891	NRAS;PRKCB;CBLB;KRAS;PIK3R1
Colorectal cancer	5	86	0.00901980977926103	0.0364133061459056	4.16253022782232	19.5985744137483	NRAS;PMAIP1;KRAS;PIK3R1;RHOA
Focal adhesion	8	199	0.0097789467108223	0.0387601887810775	2.83784176847004	13.132179470082	RAP1B;CDC42;DIAPH1;PRKCB;RAPGEF1;PIK3R1;ACTB;RHOA
Platelet activation	6	124	0.0104182941279528	0.0404076966183582	3.43413208649912	15.6740380841486	RAP1B;GNA13;GNAS;PIK3R1;ACTB;RHOA
Necroptosis	7	162	0.0105653151708551	0.0404076966183582	3.05487219555754	13.9002146910344	IFNGR1;CHMP1B;STAT4;HMGB1;PPIA;FTL;JAK1
Endocytosis	9	244	0.0107647799845047	0.0404607247693451	2.59798354214545	11.772698995138	CDC42;CHMP1B;CAPZA1;HLA-B;CXCR4;CBLB;HLA-A;RHOA;HLA-E
Vascular smooth muscle contraction	6	132	0.0138650211338721	0.0512300780878664	3.21477832512315	13.7540628225245	GNA13;PRKCH;PRKCB;GNAS;CALM2;RHOA
Central carbon metabolism in cancer	4	65	0.0157082940355089	0.0551464989467733	4.41118347181675	18.3221435568926	NRAS;SLC2A1;KRAS;PIK3R1
Inflammatory bowel disease (IBD)	4	65	0.0157082940355089	0.0551464989467733	4.41118347181675	18.3221435568926	IFNGR1;STAT4;RORA;HLA-DRB3
Shigellosis	4	65	0.0157082940355089	0.0551464989467733	4.41118347181675	18.3221435568926	CDC42;NFKBIA;DIAPH1;ACTB
HIF-1 signaling pathway	5	100	0.0165240281716409	0.0551464989467733	3.54657261710978	14.5513736058334	PRKCB;IFNGR1;MKNK2;SLC2A1;PIK3R1
Non-small cell lung cancer	4	66	0.0165322566468901	0.0551464989467733	4.33981440565621	17.8038362745999	NRAS;PRKCB;KRAS;PIK3R1
NOD-like receptor signaling pathway	7	178	0.0169791965006273	0.0551464989467733	2.76676986584107	11.2767077098416	NFKBIA;GBP5;GABARAPL1;CCL5;NAMPT;RHOA;JAK1
Melanogenesis	5	101	0.0171809247097814	0.0551464989467733	3.50945017182131	14.262249464937	NRAS;PRKCB;GNAS;KRAS;CALM2
Ribosome biogenesis in eukaryotes	5	101	0.0171809247097814	0.0551464989467733	3.50945017182131	14.262249464937	NXF1;RIOK1;GTPBP4;RAN;RMRP
Aldosterone-regulated sodium reabsorption	3	37	0.0172045353552926	0.0551464989467733	5.9235093354748	24.0647438631221	PRKCB;KRAS;PIK3R1
Tuberculosis	7	179	0.0174546258134282	0.0551464989467733	2.75054317212521	11.1346129261912	CD74;PPP3CC;IFNGR1;HLA-DRB3;CALM2;RHOA;JAK1
Amphetamine addiction	4	68	0.0182601918776581	0.0553843648565507	4.20376712328767	16.8278138769691	PPP3CC;PRKCB;GNAS;CALM2
Fc epsilon RI signaling pathway	4	68	0.0182601918776581	0.0553843648565507	4.20376712328767	16.8278138769691	MAP2K3;NRAS;KRAS;PIK3R1
Axon guidance	7	181	0.0184335209525038	0.0553843648565507	2.7186493258561	10.8571557567987	CDC42;NRAS;PPP3CC;CXCR4;KRAS;PIK3R1;RHOA
Chagas disease (American trypanosomiasis)	5	103	0.0185461405253587	0.0553843648565507	3.43747808401711	13.7069217553425	NFKBIA;IFNGR1;CCL5;GNAS;PIK3R1
Parathyroid hormone synthesis, secretion and action	5	106	0.0207249234826605	0.0610545043137837	3.33486441427648	12.927329343469	GNA13;PRKCB;GNAS;PDE4B;RHOA
Ferroptosis	3	40	0.0211813883431921	0.0615672354508783	5.44239461304308	20.978430561299	PRNP;PCBP2;FTL
Phospholipase D signaling pathway	6	148	0.0229998040541034	0.0659731221551914	2.85021855269548	10.7517927497422	GNA13;NRAS;GNAS;KRAS;PIK3R1;RHOA
TNF signaling pathway	5	110	0.0238806934773295	0.0673547657207485	3.20716740304369	11.9777598348122	MAP2K3;NFKBIA;CCL5;PIK3R1;TNFRSF1B
Bacterial invasion of epithelial cells	4	74	0.0240994115881577	0.0673547657207485	3.84227005870842	14.3146378179281	CDC42;PIK3R1;ACTB;RHOA
Pancreatic cancer	4	75	0.025170119053729	0.0686189267408854	3.78796064055566	13.9476413132718	CDC42;KRAS;PIK3R1;JAK1
Human papillomavirus infection	10	330	0.0257132212784742	0.0686189267408854	2.11800699300699	7.75349404189236	CDC42;NRAS;HLA-B;GNAS;KRAS;HLA-A;PIK3R1;PPP2R5C;HLA-E;JAK1
mTOR signaling pathway	6	152	0.0257942707017492	0.0686189267408854	2.77156353330184	10.1372787546856	NRAS;PRKCB;KRAS;PIK3R1;RHOA;EIF4B
Chronic myeloid leukemia	4	76	0.0262690944846039	0.0686189267408854	3.7351598173516	13.5935992464412	NFKBIA;NRAS;KRAS;PIK3R1
Serotonergic synapse	5	113	0.0264403203955705	0.0686189267408854	3.1176021382207	11.3258281477746	NRAS;PRKCB;DUSP1;GNAS;KRAS
Toxoplasmosis	5	113	0.0264403203955705	0.0686189267408854	3.1176021382207	11.3258281477746	MAP2K3;NFKBIA;IFNGR1;HLA-DRB3;JAK1
Herpes simplex virus 1 infection	13	492	0.0322515350252362	0.0827157015941352	1.8436893705231	6.33157893413765	CD74;IFNGR1;HLA-B;HLA-A;PIK3R1;HLA-E;NFKBIA;NXF1;CCL5;SRSF2;HLA-DRB3;B2M;JAK1
Oocyte meiosis	5	125	0.0383943871012854	0.0973253068381422	2.80412371134021	9.14100585373408	PPP3CC;PPP2R5C;CALM2;YWHAZ;SKP1
cAMP signaling pathway	7	212	0.0388433100568322	0.0973315125562003	2.3038737446198	7.48348742999123	RAP1B;NFKBIA;GNAS;PDE4B;PIK3R1;CALM2;RHOA
Amyotrophic lateral sclerosis (ALS)	3	51	0.0396869606522495	0.0983154252521635	4.19283276450512	13.5291501352339	MAP2K3;PPP3CC;TNFRSF1B
Osteoclast differentiation	5	127	0.040660410948028	0.0991028729229346	2.75787279589882	8.83208863244695	NFKBIA;PPP3CC;IFNGR1;PIK3R1;JAK1
Gap junction	4	88	0.0416967892930738	0.0991028729229346	3.19960861056751	10.1662161014021	NRAS;PRKCB;GNAS;KRAS
Autophagy	5	128	0.0418232307748164	0.0991028729229346	2.73531137373229	8.6827080122525	GABARAPL1;NRAS;KRAS;PIK3R1;HMGB1
