p.geomean	stat.mean	p.val	q.val	set.size	EC1_13.signal	EC1_12.signal	EC1_11.signal	EC1_10.signal	EC1_09.signal	EC1_08.signal	EC1_07.signal	EC1_06.signal	EC1_05.signal	EC1_04.signal	EC1_03.signal	EC1_02.signal	EC1_01.signal
cAMP signaling pathway	0.186133906300548	0.681413894544505	0.00734956515006301	0.0447847207530994	72	0.445762834526878	0.244992085869121	0.313210656971819	0.0605176586309306	0.533441240062923	0.116474196835635	0.122160260125812	0.176253332913008	0.0417916250988023	0.542385602111352	0.297948554082868	0.385333581252326	0.388176882963272
HIF-1 signaling pathway	0.172242552878722	0.681581356363748	0.00744698716522588	0.0447847207530994	55	0.518336751999825	0.12590490605001	0.219960067061413	0.0507468172551583	0.447775637246066	0.441515228380352	0.257671984160899	0.131665753051868	0.0559195244325678	0.492138687400004	0.0709237502465794	0.273559978166806	0.676832630640728
Platelet activation	0.156089930851756	0.683295389126524	0.00754654507531129	0.0447847207530994	52	0.757665721869226	0.546556774990167	0.250304442740236	0.0888397139679818	0.552983950796725	0.0718158900726487	0.0688965383234506	0.174561707328641	0.184872962964928	0.543643173604788	0.35639884395249	0.0531603207476137	0.150015972178712
Human immunodeficiency virus 1 infection	0.0947069207478022	0.678596114172343	0.00758160055209486	0.0447847207530994	103	0.736427176693252	0.322192596517951	0.0798958202684232	0.0226664808514921	0.54564454932506	0.161848982704538	0.0752792295693234	0.138193620001756	0.0369599653947675	0.86716199301954	0.425738015822083	0.114822582538068	0.476635563948076
C-type lectin receptor signaling pathway	0.140107348246323	0.682039183886948	0.00768784828622851	0.0447847207530994	48	0.616899385645146	0.242357511818307	0.325355990582455	0.0293739192527859	0.700775619461695	0.30549764635562	0.0704822813713554	0.0576624975210393	0.0142996292342449	0.692949107288311	0.172334087496612	0.400802592985301	0.466705950819097
Th17 cell differentiation	0.133444188484494	0.6770313447178	0.00784168262213803	0.0447847207530994	57	0.668898426338919	0.217001197073388	0.327205640168278	0.0756172100569713	0.572891151136546	0.108595586752382	0.0354620893761413	0.124772797743794	0.057952598480186	0.798994055893355	0.116299820064581	0.140869652126415	0.701442931412956
TGF-beta signaling pathway	0.199803915904848	0.618973685983909	0.0140683990615199	0.0785995338871875	29	0.257619808368467	0.136262370111518	0.226363114973138	0.199692687165559	0.571225038401836	0.223894755341873	0.344480715860045	0.133963350993527	0.0371840613867493	0.574011160100237	0.0991196448712645	0.491206393816415	0.662805816966903
Epithelial cell signaling in Helicobacter pylori infection	0.228553397404624	0.610109184824275	0.0148458052554838	0.0811781266097731	30	0.584206682776054	0.335082155583277	0.295120495624802	0.150062998785422	0.440647332866363	0.221318783729773	0.138354428562555	0.324095746136349	0.107095492635894	0.59494797678445	0.153461357320593	0.167899732732595	0.272892336448325
Primary immunodeficiency	0.210621954979606	0.619544375886179	0.0152184438985513	0.0814820850401599	17	0.480539045917536	0.256089764488152	0.398805742508399	0.0988830013275934	0.21940271372116	0.220846205390113	0.149427708566498	0.159979124006851	0.245504301702929	0.531837457109863	0.457756593400674	0.231549501232797	0.298253110949908
B cell receptor signaling pathway	0.173389961553859	0.601979876485476	0.0162104405381277	0.0839030783860796	37	0.704858108720922	0.309705825354041	0.161613001297797	0.0328767904661121	0.385303229952179	0.181156904720348	0.113862229350738	0.0951870785329281	0.121795351799905	0.840192773654712	0.260268881824876	0.283561280257859	0.5703076038571
FoxO signaling pathway	0.187588182051413	0.597343813446787	0.0163235561062412	0.0839030783860796	64	0.738975844481451	0.41941168484431	0.617739658011363	0.0878134926969578	0.594966508181104	0.308111470091191	0.235573817376102	0.191016149191821	0.0168739884359309	0.146600849278938	0.140457878780852	0.297377378950217	0.328222252613681
TNF signaling pathway	0.195120658680361	0.595900156704194	0.0167418100035654	0.0843655915865942	52	0.366846309431804	0.157820425178525	0.35999046290717	0.117484654132243	0.629645903372008	0.328087742498521	0.206424779258616	0.0777702660372484	0.0253418672712222	0.644897931907442	0.235685587241709	0.313938165787043	0.642257053081321
Glioma	0.189265256820659	0.592377169250742	0.0173953071545531	0.0859729603600027	36	0.776922382304984	0.208836248785843	0.26299809814054	0.0588747786576371	0.371197778459688	0.135999491096144	0.0935859092451354	0.185552693147383	0.125142413584881	0.638754730023827	0.231349271585984	0.332580304983627	0.594361544990367
Cysteine and methionine metabolism	0.252813010272347	0.575510447679451	0.0206314878070034	0.0979298729279664	19	0.205827726300893	0.163524887717824	0.173093249921824	0.189395033388985	0.182972868371	0.114002010883649	0.266498973489443	0.583678917658673	0.428772448417197	0.413292113125871	0.454217289849675	0.422946481000294	0.306568486876919
Staphylococcus aureus infection	0.228412062886751	0.573419101749132	0.0208344527793763	0.0979298729279664	25	0.26880225554165	0.272136848164803	0.18398056224411	0.244742120174208	0.220633740128219	0.167161623332529	0.107028472224189	0.335755012414219	0.798142151110831	0.545112157600106	0.494160161904146	0.141537746563618	0.16162824672653
Adipocytokine signaling pathway	0.261108357372678	0.567904968153489	0.0212012512271919	0.0979298729279664	31	0.137636543527034	0.332981781101073	0.268106098466393	0.344606252009519	0.379301931704765	0.224869866990607	0.228054409989534	0.10537901477107	0.171291550034362	0.297978422141718	0.297162349096297	0.488427575811915	0.627157839012935
Ferroptosis	0.197804125403992	0.578388152864439	0.0213388049959771	0.0979298729279664	21	0.378321716204805	0.190885625261637	0.139268022980506	0.193379619539391	0.683175987365228	0.241950357774561	0.353428428894687	0.0528106885707873	0.117520934549059	0.736519138525023	0.182560352223142	0.216778491714606	0.612959955416135
