p.geomean	stat.mean	p.val	q.val	set.size	EC3_10.signal	EC3_09.signal	EC3_08.signal	EC3_07.signal	EC3_06.signal	EC3_05.signal	EC3_04.signal	EC3_02.signal	EC3_01.signal
Viral myocarditis	0.00752091699570878	2.29447432893668	1.61231189808556e-11	3.76694688916354e-10	36	0.000325302868857357	0.109442532226224	0.11026972713946	0.000441767793569588	0.0110565565325502	0.0175705946171464	0.0259661950965709	0.00411187543576785	0.0412095691213984
Kaposi sarcoma-associated herpesvirus infection	0.00856417098774053	2.2035068132765	3.44205050023781e-11	7.08245768080251e-10	87	0.0206266528956876	0.158533841392945	0.0267533789861161	0.000710700808774991	0.00338790565242921	0.00414110371293166	0.00829806784792687	0.010049031018485	0.0903063693392764
Th17 cell differentiation	0.00837794019793259	2.21862325750812	3.58256614204018e-11	7.08245768080251e-10	57	0.00194606175698355	0.182386517403199	0.0482189871528251	0.000202456187302113	0.014470296663709	0.00502317202832488	0.00296286928103759	0.0325852522057636	0.114162150008273
Influenza A	0.00990309604806587	2.16013757867848	7.98016929191938e-11	1.46493107715949e-09	86	0.00528507724806059	0.154116683008006	0.0323373280830831	0.000255863306935936	0.0134523484586807	0.00583176651780449	0.0088742251343727	0.0262246451436652	0.106600105565371
Th1 and Th2 cell differentiation	0.00843482359442331	2.18001351308046	9.46581268760002e-11	1.62180924047547e-09	49	0.00600488012334916	0.159827447925158	0.0489555919609861	7.46912344540794e-05	0.0140318450510735	0.00706792018876398	0.0169907775807885	0.0229253906729613	0.0825879229041333
Human T-cell leukemia virus 1 infection	0.00466694668840865	2.1384660584741	1.23359716973326e-10	1.98146545388405e-09	120	0.0225294270271655	0.546085300777068	0.0367433272460367	3.37381828764181e-05	0.00206212088578092	0.00489389687581045	0.00107471799065298	0.0251498968806397	0.198770946469071
Human cytomegalovirus infection	0.0103656785468073	2.12336097053831	1.51105633890103e-10	2.28436164175039e-09	103	0.0159711488278188	0.133966528725292	0.0797351018340931	0.000343310946935037	0.0078047794596111	0.0159320969984765	0.00159415012895473	0.0222597634888604	0.0940766586331474
RNA transport	0.0109602289068619	2.08055845696148	3.71586132189437e-10	5.1487643855639e-09	82	0.0566780431959193	0.052837332351953	0.00719788724691298	0.00994256258160842	0.0117560481291778	0.00381558821324878	0.0222671071938904	0.0306199699291619	0.0465659682956489
Cellular senescence	0.0127576587861799	2.07649413075258	3.80647950683713e-10	5.1487643855639e-09	82	0.0373621050460915	0.144668453843727	0.0180456449137609	0.00697908053403753	0.00526362578194215	0.00591590982157453	0.0412241318946336	0.0050299638018761	0.0467842956814426
Antigen processing and presentation	0.0101300814009896	2.04546683848839	1.027548857245e-09	1.32040028155982e-08	56	0.000309113415070643	0.554818265187167	0.0982996218827053	0.00156563574570566	0.00906922225700179	0.053132426129314	0.00900168479169313	0.00639493340878084	0.0530935343963399
Thermogenesis	0.0170599575766965	1.99435189284611	1.56173099210407e-09	1.91126126176545e-08	90	0.0136802245561478	0.0453766218351034	0.0305338222000867	0.014557453041336	0.0428965280000619	0.0313742711390955	0.0533941132922519	0.00528850039729525	0.0190370109720552
Natural killer cell mediated cytotoxicity	0.016453810969501	1.94632927414495	4.49508234642377e-09	5.25107346832231e-08	68	0.00602731300408999	0.229834032073628	0.0899630253354175	0.00721665441508564	0.00471077843498021	0.0532200584821274	0.0273989803575351	0.011186646879537	0.0364188011676544
Thyroid hormone signaling pathway	0.0247812168032655	1.88629808851011	1.18979308276156e-08	1.32946444465096e-07	57	0.0129968959570553	0.127845410194493	0.0167631050123359	0.0171579635234649	0.0359396999975158	0.0110522930221914	0.028936844874605	0.0271740289085047	0.109081728347182
Proteasome	0.0187045511764705	1.90071149159747	1.69202406381034e-08	1.78977382164174e-07	32	0.105350156763738	0.204221782550899	0.161664048593732	0.00431144470994314	0.00697606783926764	0.0261499695270693	0.0399026100278146	0.00434444364083531	0.0181600264479152
Tuberculosis	0.0225856051894241	1.85892003989093	1.74102511832854e-08	1.78977382164174e-07	79	0.00730836708255375	0.0518731249183142	0.067891448331005	0.00295730899549262	0.0431250823309083	0.0307857746487915	0.0607042179353121	0.035042106830852	0.0988948050313067
Graft-versus-host disease	0.0187375930887612	1.89817435303533	2.17825713622391e-08	2.12110668170275e-07	29	0.000442686168508654	0.432378764504447	0.117050394412833	0.00365167943343008	0.025236535290385	0.0903562650671431	0.0195386103892745	0.0114175348151419	0.076975156265301
Huntington disease	0.0139668923219002	1.85002253502199	2.22840001579666e-08	2.12110668170275e-07	84	0.0573250079705807	0.140748408436505	0.0372165880421077	0.00151014257195859	0.0132323485115632	0.0472515839382945	0.166599062832845	0.0034519736480169	0.0734732562965247
Non-alcoholic fatty liver disease (NAFLD)	0.0177501288750909	1.84107369553997	2.58195724452515e-08	2.36986789943915e-07	74	0.0608860235306981	0.300819643894311	0.0115009138705334	0.00505056250367585	0.0171494319835522	0.0133756367468197	0.0753481665583894	0.00641250235811855	0.122170666037628
B cell receptor signaling pathway	0.0268846516211654	1.84825450034036	2.85652858621233e-08	2.53147533329851e-07	37	0.0727874437366948	0.166489738712262	0.0354544381392909	0.00866277862443543	0.00825996593900581	0.0446827754166273	0.0374069819947037	0.0188170975653267	0.0429878124536902
C-type lectin receptor signaling pathway	0.0263312184048096	1.82869975740059	3.4815768253193e-08	2.9825508136902e-07	48	0.0829320680953838	0.105590844787035	0.0540475428250601	0.0014501763151092	0.029063420562795	0.0345816664001122	0.0337305439154905	0.0221839934609901	0.080126782605527
Type I diabetes mellitus	0.0249473742676179	1.8069506254202	9.15146331586985e-08	7.58685829735017e-07	26	0.00302629667243725	0.409754961802525	0.099657428855417	0.00353384036429852	0.0640046907365702	0.026150274660347	0.0113780993606159	0.0248558259143354	0.159975083970467
Chagas disease (American trypanosomiasis)	0.0272218537455624	1.77192823173971	9.58782807555559e-08	7.70022442318058e-07	43	0.00832275599799575	0.231130894093613	0.0685263542065636	0.00574476547935081	0.0192767815355213	0.0170426922090809	0.00675755583480721	0.103429594091565	0.288605266084041
Allograft rejection	0.0285503971986701	1.75438593830473	2.15909456377068e-07	1.68147667542141e-06	24	0.00248936822659404	0.470182844287685	0.152994683599674	0.00362696854243425	0.0541211572754807	0.0496990196075112	0.0233749530099951	0.0151702479655553	0.122382595723537
Endocytosis	0.0284492201703251	1.67678959699663	3.06009299043939e-07	2.29567366577438e-06	104	0.115081978287308	0.217922646015299	0.134223012858636	0.00356059433324751	0.0030210798503379	0.0770258566979342	0.104863835502415	0.0247501029484524	0.0362633086815769
Toxoplasmosis	0.0355112414885053	1.68283402430286	3.12640382498457e-07	2.29567366577438e-06	59	0.0023065881084461	0.136550803637188	0.0949040424677028	0.00857221482700369	0.0926048263971254	0.0255101186214333	0.0553434265700432	0.0895910999037355	0.133160506599627
Parkinson disease	0.0207639981576877	1.66332846859281	4.826897022489e-07	3.44586815216576e-06	63	0.144152241419883	0.482075388986509	0.0898021424867973	0.00217577439693887	0.00304012519998748	0.0808454315375827	0.17309320914764	0.0042944856770786	0.0462251456921453
Shigellosis	0.0418908709286634	1.64088629805821	7.18314271704147e-07	4.98937210345853e-06	33	0.0516459700634843	0.13697889589339	0.107770204680144	0.00841186089774633	0.0157921924127925	0.0915778495032863	0.037612532633208	0.0609885506399066	0.0966105845586869
Fluid shear stress and atherosclerosis	0.0346554808871889	1.62083178343068	7.86783556286759e-07	5.32114142014993e-06	66	0.0434779978620121	0.217692337664742	0.169350986865189	0.00603086445147019	0.0190181133304547	0.0392153884881806	0.0106936072476839	0.102897133394242	0.14787303072377
Ferroptosis	0.0487671247490662	1.61858758704157	1.26246006928486e-06	8.31928814887715e-06	21	0.0660582161844775	0.109275658646736	0.0397414745320395	0.0298127759109918	0.0784232338666451	0.0167592458805204	0.0926174509885376	0.04257839536774	0.123641064995897
Platelet activation	0.0443614061971717	1.56410497486623	1.88772068000648e-06	1.20868575429468e-05	52	0.0294926467871666	0.148429486769491	0.242900613089327	0.00533808140920707	0.0137681817413588	0.161451167556614	0.0985570592990719	0.0352799426866238	0.0810490983676017
Phagosome	0.0402284013108113	1.55649545626445	1.92825353797984e-06	1.20868575429468e-05	77	0.0110180679379124	0.0974126332183668	0.366958994002237	0.00149602250077614	0.0453220948230843	0.182610648496235	0.068573839529126	0.0330466988601164	0.149054250618583
Proteoglycans in cancer	0.0515146236366398	1.53625489864102	2.3470907769183e-06	1.43619602301906e-05	91	0.0374893623406117	0.0644897621838906	0.111720251974382	0.0131922567678324	0.0413383652634299	0.094551036741355	0.0612575803353428	0.0710634624621031	0.174496521539248
VEGF signaling pathway	0.0574872636815097	1.53427682812938	3.04537447476651e-06	1.82014241863952e-05	32	0.0420826845489278	0.0863455112209011	0.12707533584872	0.0254750894080511	0.0695695020455125	0.066941090819354	0.0548720027902453	0.0674353937610405	0.0943703241281344
Inflammatory bowel disease (IBD)	0.0507254185830762	1.52045163647293	4.19026929497478e-06	2.44749820183754e-05	30	0.0150803786386143	0.219615550908125	0.0879199383727497	0.00561712902043103	0.193304510261256	0.0259599002224589	0.0816958344250947	0.0619945859581151	0.21370615656078
Colorectal cancer	0.0460724671885551	1.50795300008429	4.33459596236216e-06	2.47358151545464e-05	43	0.145881615282298	0.209922024725214	0.0312458513202528	0.0336209813929509	0.0929792705779312	0.0107098337233191	0.0173991700066988	0.0676834776857888	0.286728961027671
TNF signaling pathway	0.0586599607263244	1.49743141390183	4.42742216773982e-06	2.47358151545464e-05	52	0.0423493701383151	0.0696477339692835	0.0905320119588856	0.0231631116430595	0.0760599030769862	0.0298834527119225	0.0350645190932362	0.191162343911616	0.212277550629992
Autophagy	0.0622863419037459	1.47505297084718	5.75419675243312e-06	3.08958037078873e-05	60	0.13533048291199	0.188790158751712	0.0930666235942557	0.0330513213530826	0.0243618395323552	0.044612298095322	0.132740535820985	0.0316204941969048	0.0845916378127469
Glioma	0.0550065322813745	1.4878650681153	5.77042248240696e-06	3.08958037078873e-05	36	0.119592067803345	0.233597413257138	0.0959452942133518	0.0213843514743103	0.0219530432604125	0.0923567697675591	0.167211328939485	0.027512102320007	0.0447619587449393
Pathways in cancer	0.0423693007801101	1.44856699878915	7.53912704884102e-06	3.92845018895921e-05	207	0.257661399061493	0.350556147453277	0.133859249531824	0.00512760433231507	0.0222873684564357	0.0436582498244101	0.0170440185431938	0.0529702357941093	0.206482461167096
HIF-1 signaling pathway	0.0566633488088405	1.45815554234009	7.64289920030974e-06	3.92845018895921e-05	55	0.187398261612084	0.278870130119995	0.0177516672724922	0.0368630669805373	0.0431538216088808	0.0166123057051582	0.0407846100767313	0.0871115561290637	0.253342894270106
Long-term potentiation	0.0595534742410838	1.47269176392674	7.80290693134272e-06	3.93205310069624e-05	28	0.18449594207887	0.119379589653048	0.159211746117643	0.0177365709426602	0.0368637636056575	0.154214362028786	0.122549715105668	0.0279485976479993	0.0285983173968265
Toll-like receptor signaling pathway	0.0573716497032926	1.46327750982604	8.2173104212475e-06	4.06124765050117e-05	35	0.0228355681308357	0.125329051323831	0.0738093526507309	0.0305182053514256	0.0944525763904279	0.0309890650784165	0.0305700577382633	0.210351540342235	0.274513170450481
Leukocyte transendothelial migration	0.0488934416369249	1.45178396724539	8.8408437600609e-06	4.28697518176538e-05	57	0.0334294831688017	0.275853136233026	0.342524449762342	0.00342422301063144	0.0180619662243967	0.296476983734723	0.0958250246716684	0.040979921400688	0.0480370139482178
Apoptosis	0.0585207717028492	1.44068607617664	9.08335075032883e-06	4.3230021163602e-05	75	0.095151775678647	0.253012514089333	0.0536275639722717	0.0281454541805304	0.0341219114663897	0.0303334879133149	0.0377586854640678	0.141139138892609	0.208126529811916
Osteoclast differentiation	0.0577364479062136	1.41506661048363	1.32553804806622e-05	6.19387778823672e-05	64	0.0639130873202235	0.0836466231792476	0.0960170641656768	0.0133840519707313	0.0732888761609263	0.0210731743364937	0.0275956461311218	0.199980591452186	0.524477236631358
Salmonella infection	0.061810034135813	1.40243737131996	1.74817065947238e-05	8.02285463365005e-05	39	0.0443856786057295	0.152367806202545	0.247278982243523	0.0132456140522517	0.0329159549362187	0.0713438707880824	0.0192371442091385	0.210253773811084	0.272783617565487
Bacterial invasion of epithelial cells	0.0625679152878065	1.40216310353752	1.83877932735612e-05	8.29063661632495e-05	34	0.0331681860588381	0.257743174368819	0.21820190439567	0.0170385094423773	0.0167836413744974	0.199343776096798	0.0780095571226532	0.0478479602329412	0.172893689493484
Renal cell carcinoma	0.0733077293243935	1.39133095847044	1.89941713422404e-05	8.41638281888929e-05	39	0.106063383161229	0.0841667487446022	0.0895654406379908	0.0612839008041528	0.0701274870648932	0.0445394790405046	0.107199901560468	0.053264306384802	0.207636529038508
Inflammatory mediator regulation of TRP channels	0.0660140911458413	1.39087373559154	2.04655053193443e-05	8.91463536791779e-05	36	0.0822357353599721	0.170932748788033	0.26506955139595	0.0229669122925556	0.0389098885918316	0.165614647974663	0.0968061944677592	0.0450446364766793	0.053481074569698
Hepatitis B	0.0606855021526248	1.3633892618083	2.48338822185387e-05	0.000106371795502741	80	0.120409512435072	0.129445476967788	0.0739869786830942	0.00575681783577552	0.0809195977663967	0.0410304446506638	0.10226349644897	0.16097685393077	0.308824017533065
Chemokine signaling pathway	0.0662430589885287	1.36126778616827	2.57392972162864e-05	0.000108442612862059	72	0.0906659961864882	0.299560327099303	0.175483436625625	0.0295663381651198	0.053182379401356	0.104619339421149	0.0197018938341787	0.0681566023901143	0.148205425256751
Neurotrophin signaling pathway	0.0755215474047513	1.35195709232772	2.85706624904861e-05	0.000118430004194434	64	0.082075494438086	0.0616618983603857	0.0946087999226445	0.0591365918478117	0.104670051699705	0.0565468195733238	0.085892290886681	0.108929623076176	0.204057733509869
NOD-like receptor signaling pathway	0.0704339450386494	1.34629024445823	3.12668505184731e-05	0.000127548898146787	69	0.12934570677423	0.269729268440467	0.167454943270731	0.00295136821220412	0.0827578366468556	0.102306885464148	0.056638391235838	0.101683930863591	0.14971233798838
Apelin signaling pathway	0.0705228447624986	1.34652754519656	3.30412571853502e-05	0.000130750914026552	48	0.27795754265348	0.248863995491308	0.259483503477756	0.0136471813362306	0.0602583496898883	0.109787289423454	0.0227241204499445	0.0388100613489135	0.0958994324925262
cAMP signaling pathway	0.0823949646314144	1.33843456125701	3.30692973218906e-05	0.000130750914026552	72	0.0964910513597749	0.131505865726919	0.164753064183199	0.0729415368818718	0.0880170471752196	0.0551268501059149	0.0359327702879025	0.0892158443079444	0.153115812760806
Rap1 signaling pathway	0.0647126500051905	1.32612999233677	3.99030047243358e-05	0.000155379882032641	83	0.0411924558681392	0.134824051702579	0.370994103682139	0.026972529425394	0.0342110157169213	0.223193729470436	0.117816722948227	0.0460904570177347	0.0995856497934403
GnRH signaling pathway	0.0734417491753571	1.33219855131692	4.06557942855357e-05	0.000155887344964324	42	0.115103654172073	0.0700488126586368	0.165478410659949	0.0117370098833226	0.197319614482808	0.0897560694473656	0.0805900298398378	0.104263938088915	0.145438115365223
Oxidative phosphorylation	0.0512840853697107	1.33047849758023	4.12464570333621e-05	0.000155887344964324	60	0.188080447939804	0.205409877316659	0.132525610944059	0.0161166666418732	0.0417433373391324	0.133006534949826	0.292156120116277	0.0160095092228728	0.0945453490882452
mRNA surveillance pathway	0.0792379769148801	1.32067590253558	4.42278024926993e-05	0.000162802341780592	49	0.0638269205912265	0.0972293808584171	0.052705948221066	0.115417703931329	0.0775520969511166	0.0813653993539201	0.172694315030503	0.0718465564187021	0.184314734157954
Leishmaniasis	0.0695941953670504	1.32672847891381	4.43430502904337e-05	0.000162802341780592	43	0.0173060805137995	0.220042374134759	0.342878575469014	0.00682812922776872	0.129696735248842	0.120846192262516	0.0399742974258615	0.139056206332822	0.192418799246985
Hepatitis C	0.0778311796244039	1.30540581411424	5.08537234426587e-05	0.000184076153869906	71	0.0640315892473663	0.261652071696408	0.0576985542764607	0.0310361772278322	0.126253113250554	0.0810723386237776	0.204901507554069	0.0565145162428032	0.13391152842219
Non-small cell lung cancer	0.0863625828849906	1.2983119673533	6.00304840503885e-05	0.00021427547779097	37	0.184745778941593	0.148247574465272	0.0821002538669441	0.0319965619098603	0.0495414725734448	0.0508267835523293	0.260121633071846	0.0690052455417523	0.173384856533792
Regulation of actin cytoskeleton	0.0409528332898203	1.28750894417269	6.90155099777595e-05	0.00024297241183951	90	0.116208414440527	0.400281225741346	0.64484056104684	0.00252268603369625	0.00154724565805387	0.300697002551897	0.12955237830319	0.043740879162879	0.107930795973629
Measles	0.058521268620405	1.27782661177053	7.43633235553103e-05	0.000258261812888037	69	0.134159331375924	0.538141917637618	0.0901254941229625	0.00539885049892882	0.0516775035716262	0.0590341076295463	0.114348215527892	0.076898215159842	0.255429791775013
RNA degradation	0.0695449928312858	1.27013104930277	8.56767619734193e-05	0.00029358570436225	49	0.351546383239232	0.378580070717904	0.0947118959959166	0.0412374103544559	0.0318188927303364	0.0548771439434992	0.0922783735396133	0.0751024384894054	0.0942812837076614
Fc gamma R-mediated phagocytosis	0.0824378958436744	1.26333917476716	9.20226194096791e-05	0.000307377905703258	41	0.131230725678162	0.311830971957959	0.239293665344898	0.0258896130002513	0.0174729330979174	0.158994664540604	0.0830830105823409	0.0831237364367336	0.140400345143822
Pancreatic cancer	0.0877323126568845	1.26303397693255	9.20937694130385e-05	0.000307377905703258	37	0.164306538216236	0.260809922352295	0.0996283260093252	0.0549301198553081	0.109412336214137	0.0757368306125316	0.202084914947293	0.0251288254265278	0.103277996848269
Autoimmune thyroid disease	0.0827255730643691	1.26807559231809	0.000101462234023581	0.000330162440748004	26	0.00868816487938776	0.480198556186896	0.234555282539565	0.0348375195503265	0.106451505789205	0.141906059249014	0.0874191124672226	0.0480765330304636	0.199960571844165
Transcriptional misregulation in cancer	0.0875288512496479	1.2472586386217	0.000101489621864172	0.000330162440748004	73	0.0982950201289838	0.216621687125278	0.021493425989282	0.235813739627327	0.119087579589109	0.0529337168911355	0.0154188581937028	0.198870943170593	0.299529696336721
Fc epsilon RI signaling pathway	0.088288640864429	1.25248587924636	0.000106188251262382	0.000341129757180403	37	0.0211724188979379	0.0915101152058367	0.0751573577607604	0.086454199830863	0.204039568592347	0.0320555644323814	0.193765142188533	0.194527643832489	0.293092337001823
Prion diseases	0.0965434085987992	1.25613139732755	0.000137834692299457	0.000437327357048895	15	0.079500349979395	0.19235820405332	0.218347946429673	0.0519682225360752	0.0210232211764245	0.2183789799153	0.0703274363613895	0.118302114716983	0.22293580877328
Hepatocellular carcinoma	0.0985783684429646	1.19723566560787	0.000180033025183936	0.000564249847222824	68	0.198447671043228	0.232597413437202	0.117607149578876	0.0580392023323493	0.0698041825447401	0.094114144318664	0.156745970015772	0.0648708156841059	0.146601263148622
ErbB signaling pathway	0.0991288849074917	1.20095235555373	0.000184864219166966	0.000572410895492895	40	0.253706419022266	0.138860983331879	0.055568628032587	0.095294004977245	0.117024760008249	0.088972673529742	0.109429948713024	0.0873784129063781	0.181836822175362
AGE-RAGE signaling pathway in diabetic complications	0.082973477130603	1.20119734838397	0.00018886887121931	0.000573596245052259	46	0.168884461735288	0.239568746024154	0.0871406262144443	0.010183066608711	0.0931133442650439	0.0467835863061515	0.0177854739336222	0.332048977916534	0.584584807560564
Human papillomavirus infection	0.0929842410204795	1.1890194177808	0.000189710820348023	0.000573596245052259	138	0.0458153594540846	0.200285262027412	0.142691679512344	0.020659869252601	0.115909441867017	0.116149186837789	0.199454630483089	0.123159392734159	0.263409469829604
Focal adhesion	0.0898190912389311	1.18901276616951	0.000197830534377402	0.000591191248081305	82	0.048738535949654	0.27694487494289	0.397332971553371	0.0348050352651957	0.0370106546088196	0.174616792059558	0.0831649223300975	0.11000203864271	0.165558452373068
Cell adhesion molecules (CAMs)	0.0853140427910021	1.18989525244679	0.000205860343741208	0.000608116187833224	61	0.00540580593930321	0.557415522728352	0.218361041775068	0.031060868770476	0.136818105704649	0.214778745636978	0.179537068588997	0.060881731450612	0.114940111459384
Oxytocin signaling pathway	0.0843109936411949	1.17725393403577	0.00024154935217532	0.000705433903512014	57	0.22406283136168	0.246657502645359	0.316338556346618	0.00480869048374664	0.0847836009191071	0.275511818910905	0.0424656681132173	0.122293221407512	0.135047782591882
Sphingolipid signaling pathway	0.101493397001948	1.16310668253215	0.00026917661817488	0.000777285290684767	60	0.0859309710377105	0.14527053612859	0.112974835958682	0.072337431838547	0.137913239871735	0.0314890863991007	0.0963994565048049	0.25026593821145	0.357554376665698
Herpes simplex virus 1 infection	0.0912485935533601	1.15066188735818	0.000291817699978297	0.00083330165438247	157	0.0421815298087716	0.470400535948341	0.0668242444609649	0.081557994448886	0.425702162816023	0.121743423828839	0.324729946539798	0.0123314683652378	0.0584623691344533
Epithelial cell signaling in Helicobacter pylori infection	0.118938006000087	1.13385926426675	0.000395138470120647	0.00111594051451655	30	0.136453080882261	0.0498561579100905	0.24687914247684	0.0812475893577249	0.166354790848883	0.188895241579307	0.0819859651467762	0.140099252486883	0.178143802183455
Legionellosis	0.0994029467866846	1.13680824388194	0.00042606548915811	0.00119020468166994	27	0.0737535544784395	0.285250172006433	0.162050167974421	0.0259727738656639	0.0629397026332493	0.181408203511444	0.0515474584172107	0.273688023049903	0.348937541543839
Protein export	0.103733884788616	1.14124752829329	0.000466352099121888	0.00128873644596049	17	0.250972199035566	0.416337488326667	0.193150326171604	0.0605467654538171	0.0399420422300809	0.164894932824492	0.140040261245015	0.0754673080336032	0.0824610755999272
Inositol phosphate metabolism	0.121069499036337	1.11265465760108	0.000509231458484352	0.00138792312083273	27	0.0654838871846041	0.379566803564303	0.112190441351121	0.114093275227265	0.0930729535410655	0.129966402923503	0.289357323059926	0.0634431736677497	0.138113859770292
Phosphatidylinositol signaling system	0.113600795329229	1.10720028832512	0.000513045511591863	0.00138792312083273	39	0.249660029460473	0.401958973556144	0.170880273973176	0.0417584294374961	0.0610080516097839	0.128254826520972	0.277753636416035	0.0488889728133358	0.0936921964636295
Alzheimer disease	0.0907704819780537	1.10122533067819	0.000523501679364916	0.00140145762079983	75	0.258603783073265	0.411442603200608	0.207943296849851	0.0220253905087299	0.0602702714470378	0.151114568298563	0.35031706405511	0.0331077159363259	0.0920117597169881
MAPK signaling pathway	0.100321394819079	1.09194572106371	0.000555488983060454	0.00146135738763901	125	0.133933073370152	0.066114731269953	0.146225125523619	0.0770014372718088	0.278390779956127	0.0574708296504872	0.0102926295378755	0.403164867519341	0.513526686749759
Protein processing in endoplasmic reticulum	0.0920512881850526	1.09539458867884	0.000557249120578298	0.00146135738763901	80	0.16158383432696	0.396575374258652	0.418758206625664	0.0134105323660524	0.0208775485417725	0.194218853958076	0.0295355492264342	0.244635213838815	0.263432687559156
Tight junction	0.116750701237759	1.06559678680689	0.000747621086081561	0.00192494108634368	70	0.153034709353136	0.262178447751782	0.286521597989535	0.0673241884832816	0.107662531476418	0.284434215418383	0.227713561347002	0.0541861688904595	0.0498460377824603
Axon guidance	0.130244076304602	1.06476845576309	0.000749004313752407	0.00192494108634368	62	0.132314764381137	0.38084340253353	0.180698526703866	0.0840736243497863	0.0746590620773483	0.166822281227368	0.243227113111728	0.100792997981182	0.0758162941495349
Insulin signaling pathway	0.134883155655792	1.05886050207987	0.000786683543808189	0.00200175911642282	69	0.25600915041386	0.100703380856316	0.199699266675912	0.134423793960374	0.0819855751683255	0.130393282452234	0.158985803727066	0.0916243786876949	0.225153265272434
mTOR signaling pathway	0.124336149132704	1.05602513339979	0.000822012806881451	0.00207114991537777	65	0.126848500546763	0.0999220158702976	0.102779375463854	0.156224965430234	0.21468098788256	0.0303665055213514	0.205677436390268	0.223913034892669	0.309140141347858
Adherens junction	0.106910835230258	1.05809747180261	0.000908828094316415	0.00226765844892542	35	0.124318546272123	0.227639573693312	0.305322605399777	0.0217067070543879	0.138373044652336	0.257078156631076	0.193268741819606	0.0701521248100112	0.198843650700592
Ribosome biogenesis in eukaryotes	0.115506602560337	1.0384073179504	0.00105401813373446	0.0026046409650938	37	0.39172656162039	0.290948423691253	0.064357323838802	0.152077103320544	0.0753580007802152	0.0923552439769314	0.123178722550168	0.115694220331163	0.232054374226754
Phospholipase D signaling pathway	0.127565906536548	1.02306777683512	0.00116398565680929	0.00283829675226226	54	0.181776498229922	0.23974574802696	0.260061504867391	0.045091686276704	0.0845604882688673	0.0846155056920425	0.0737935606582169	0.282695155752831	0.34143482453839
Gap junction	0.130790763791901	1.0305670528858	0.00117065936085525	0.00283829675226226	28	0.355861757982316	0.198663688803411	0.304681664332544	0.0326286676911942	0.0929398029542405	0.0926841702547076	0.0508470311473365	0.265355804309108	0.258467020948162
Long-term depression	0.149678845510985	1.02331314874486	0.00128889002607014	0.00309574520280399	18	0.138596966697966	0.0688894594661404	0.224889087726308	0.115162872266449	0.213805244193744	0.169065701620723	0.198026480810111	0.146339535168586	0.193791794352863
