p.geomean	stat.mean	p.val	q.val	set.size	EC5_03.signal	EC5_02.signal	EC5_01.signal	EC3_03.signal	EC0_02.signal
Th17 cell differentiation	0.00489838343727882	2.53948590476184	1.31590081239754e-08	1.53721140357349e-07	57	0.0163181212877306	0.00240527744938143	0.0008238561439315	0.00416341818429015	0.0445314442204349
Human T-cell leukemia virus 1 infection	0.00402686713886448	2.49661455323752	1.65577808865409e-08	1.85015203819174e-07	120	0.0278004148420746	0.00179043737935791	0.00160522483783492	0.00746707898894297	0.0159991658337441
Hepatitis C	0.00590784189858638	2.49070336599423	2.04599389498906e-08	2.19091846255078e-07	71	0.0357997761369883	0.00361053286000992	0.000601412637892461	0.0155576216812536	0.00849320739925541
Human cytomegalovirus infection	0.00576946208899811	2.46766138825393	2.38303737591912e-08	2.44976242244486e-07	103	0.0451940045491059	0.0038383832939867	0.00356598904563785	0.00280369162176189	0.00845402267771185
C-type lectin receptor signaling pathway	0.00783047285941835	2.41172025324516	6.39665299987217e-08	6.32284546525826e-07	48	0.013850021818598	0.00170043729368057	0.00810403006892798	0.0078598256733084	0.0314152193604109
Protein export	0.00856515901900881	2.51040786839043	8.02033881294093e-08	7.63417435157711e-07	17	0.0220977394366283	0.00291849602160693	0.00894176586486253	0.0267145915877487	0.00403719137122582
Th1 and Th2 cell differentiation	0.0069323017108933	2.38736470249466	9.04253177476976e-08	8.2997523789851e-07	49	0.00861978943180449	0.00200640809158496	0.00282847604836704	0.0143622764538638	0.0728554183089046
Tuberculosis	0.00754459318282952	2.35363446850711	1.03812115449771e-07	9.19990126572109e-07	79	0.00818921787216821	0.00230405730773957	0.00309471289832615	0.00826047040751138	0.107091796920093
Thyroid hormone signaling pathway	0.00902765756576433	2.35066871123558	1.16843875848586e-07	1.00096253643622e-06	57	0.0576628157438031	0.00419126453589451	0.0033116776642882	0.00794938199335856	0.0130811579816147
B cell receptor signaling pathway	0.0101349077368026	2.328989941258	1.88657716006468e-07	1.56403332302137e-06	37	0.00917213718032411	0.00284994744383154	0.0184456199457284	0.0222091860929327	0.0162132037645934
RNA degradation	0.0105474960963234	2.29729610949869	2.29479731382423e-07	1.84300909266508e-06	49	0.0367156708542026	0.00609110045351527	0.0119476832408323	0.00720397940859061	0.0115080359816123
Thermogenesis	0.00959824116680081	2.27634062123008	2.38120497299827e-07	1.85445356988047e-06	90	0.00168277779265008	0.00461909231252818	0.0279793551887631	0.0308330868933848	0.0259070300342892
Viral myocarditis	0.0101563208642787	2.2751526292435	3.78675741961693e-07	2.8623431083575e-06	36	0.0110665379949569	0.00324619817724066	0.0114910143162702	0.00974809812614976	0.074909907396035
Colorectal cancer	0.0113527461877367	2.24650877283287	4.44054946461828e-07	3.26063203544828e-06	43	0.0471673545708625	0.0386751776838313	0.00250838736450875	0.00944646352211121	0.00825801342917235
Shigellosis	0.0121406553143235	2.24038444301326	5.5903080235994e-07	3.99085878351402e-06	33	0.0159025963239544	0.00146053635578447	0.022261883136967	0.0478068509388778	0.018289714077007
Ferroptosis	0.0146472148374032	2.24046614710506	7.53078759804486e-07	5.23084435864197e-06	21	0.0155044280585993	0.0101308249256867	0.025522532653827	0.0242397721719328	0.00929250450426844
Apoptosis	0.0138326533087729	2.158407456868	9.15450354279313e-07	6.19133529078378e-06	75	0.0462898630302221	0.0184511928788102	0.00201107910397108	0.0123796785986039	0.0376618700465096
HIF-1 signaling pathway	0.0139034064558379	2.16096741103463	9.84151528643673e-07	6.485306227216e-06	55	0.127895598100327	0.0179783857643784	0.0123446460569994	0.00272757077602961	0.00871985625609853
Type I diabetes mellitus	0.0132200638864602	2.19792039674835	1.10102867665201e-06	7.07410924748918e-06	26	0.0325992250427655	0.0145914476849397	0.00558765323619405	0.00306361586869776	0.0998439658091559
Long-term potentiation	0.0173581841698239	2.12755781104557	1.88269975710729e-06	1.18013131116238e-05	28	0.00801283498276883	0.00833982333867167	0.0131661845065714	0.0420443860929573	0.0560663891483937
Allograft rejection	0.0172002508552302	2.10106573230743	3.00705608007289e-06	1.84003193471127e-05	24	0.0322981593332542	0.0119642305280392	0.013865711162019	0.00405278498169111	0.12197296435727
Pathways in cancer	0.0156362285770386	2.02918738863233	3.12923765614349e-06	1.87026529681134e-05	207	0.151801617622387	0.035113825207634	0.00222455648549404	0.0133890877860001	0.0137968714812273
Chagas disease (American trypanosomiasis)	0.0186271062625546	2.02370436682653	4.56369883764122e-06	2.66561500289498e-05	43	0.134932220972757	0.0249478534087471	0.00535741975419641	0.00649230746114841	0.0343133837438504
Salmonella infection	0.0198732151954673	1.99960303228987	6.08572062841362e-06	3.47562267000511e-05	39	0.0288062191763815	0.00127405247793417	0.0275266181113052	0.0566580737343003	0.0863556997096766
Pancreatic cancer	0.0239101947812022	1.9827754161659	6.80770578393614e-06	3.80343562276432e-05	37	0.0474706782076904	0.0107080257736886	0.0179193929763126	0.0408726366806614	0.027620299403952
Protein processing in endoplasmic reticulum	0.0242066640369409	1.93919732795697	8.59573168465929e-06	4.70021924033497e-05	80	0.0765192147824331	0.0321804653873383	0.00934670548458319	0.0300884647118846	0.0177667248981031
Inflammatory bowel disease (IBD)	0.0232058674722554	1.94346333766115	1.17916879675076e-05	6.31346626593637e-05	30	0.0337626935629851	0.0495853451601359	0.0021091936811383	0.0176272837953355	0.15621088917816
Phagosome	0.0250735379072807	1.90428800602306	1.23212229297489e-05	6.44026299231619e-05	77	0.0109619636880958	0.0115963800400682	0.0317119481247568	0.0500744709871274	0.0854093022711643
Glioma	0.0263594754285787	1.92171056232972	1.25296945375801e-05	6.44026299231619e-05	36	0.0596850315546783	0.0181555352006337	0.057858739314885	0.0214660503601467	0.0148092369627864
Hepatitis B	0.0234301557151047	1.86423722751651	1.85313953766864e-05	9.33836982707529e-05	80	0.183234960995402	0.0184484369114717	0.0014297332358526	0.0650728660041651	0.0411109171579608
Autophagy	0.0310036855058226	1.85426101104758	2.03644296902817e-05	0.000100647277507738	60	0.0988040248424038	0.0383800014657665	0.0237190248130849	0.0165030984203584	0.0226050043788983
Measles	0.0246730832813286	1.84774831017112	2.21573248646814e-05	0.00010744212245704	69	0.14426282280543	0.037059243719339	0.00409340796815884	0.0410912602463447	0.0285938558735866
Leukocyte transendothelial migration	0.0276468166921425	1.84275635513524	2.39071014991578e-05	0.000113780094171918	57	0.0131956161870715	0.00554752083080334	0.0886529353749408	0.0958254714122886	0.0467627595246084
Toxoplasmosis	0.0289692521212007	1.83806398365353	2.44962717251219e-05	0.000114464396970115	59	0.0880532459249831	0.0351392884135163	0.0106600260968797	0.00902367631073371	0.105754933636063
NOD-like receptor signaling pathway	0.0282247810831794	1.82918508244364	2.5929885055788e-05	0.000118999651059599	69	0.0493113626108723	0.00606969856645643	0.00768330756643295	0.048443035474248	0.210076057988568
Non-small cell lung cancer	0.0323904588098473	1.83756640082091	2.68696876597965e-05	0.000121149293483644	37	0.120827463304734	0.0283873860519076	0.0323090722901069	0.0286574208520388	0.0136849829737453
Natural killer cell mediated cytotoxicity	0.0255628883838801	1.82182003452771	2.87484896997027e-05	0.000127385549186614	68	0.0225728242543876	0.00443710029723001	0.108670830787033	0.0249575098085763	0.118821302931888
Regulation of actin cytoskeleton	0.0245107929764357	1.78594023733682	3.86490509236917e-05	0.000168352645548962	90	0.0192144201338023	0.00216289704191068	0.0754401802491102	0.096530374956761	0.119655362073741
mRNA surveillance pathway	0.0340463517129047	1.78388209135649	4.1411602427031e-05	0.000177379697062449	49	0.101338315127578	0.117558787316949	0.0152073786866939	0.0206676589042502	0.016368074626724
Toll-like receptor signaling pathway	0.0324035349013808	1.78213541990754	4.75857241141278e-05	0.000200484116349686	35	0.198562042895171	0.028727857764531	0.00781618957740298	0.0158220634018003	0.0787425289915527
Graft-versus-host disease	0.0315433604139005	1.79087510168161	4.83838204866237e-05	0.000200558739759069	29	0.0363083181634392	0.0189116067737448	0.0526416155718869	0.0111457789563843	0.173528126928068
Bacterial invasion of epithelial cells	0.0374426273574561	1.75864239597566	5.6492650163481e-05	0.000230454144317692	34	0.0533193273444658	0.0159330193805403	0.0307653995053158	0.0880547446351133	0.0493597018844496
Renal cell carcinoma	0.0381703353797634	1.71619227992952	8.07544038685483e-05	0.000324279403034639	39	0.20994350984251	0.078857563902826	0.029269088328287	0.0316171073142448	0.00680590103176931
Fluid shear stress and atherosclerosis	0.037912104377366	1.698282548198	8.49134851462462e-05	0.000335734856655158	66	0.0660141982653541	0.0237487125536503	0.0315167447713456	0.0448750494199709	0.0862462048516308
Antigen processing and presentation	0.035682753862299	1.6432881013722	0.000147518430246188	0.000574427826867733	56	0.112940439110982	0.0386062817809595	0.0801664683876649	0.00402200008211185	0.144251098453298
TNF signaling pathway	0.0473977530015758	1.6257175640474	0.000162265755559757	0.000622422375803844	52	0.197804081616601	0.0489586597251275	0.0176963107969938	0.0348374636844633	0.053043777645763
Inflammatory mediator regulation of TRP channels	0.0492656948556158	1.61087898020753	0.000196625395293237	0.000743128332211205	36	0.0350017021874838	0.023000033338846	0.066092459602499	0.08012142131426	0.113364800019427
ErbB signaling pathway	0.0517866869157394	1.58850042130497	0.0002305017442413	0.000858535482174117	40	0.168681027712389	0.0830733487701829	0.0369304957427775	0.0584219803748587	0.0165035480904584
Fc gamma R-mediated phagocytosis	0.0492884945615316	1.58588285639326	0.000237979582757085	0.000873725039551012	41	0.0498526702508458	0.00662632525147992	0.0957701829016095	0.115944481691502	0.117428574214867
TGF-beta signaling pathway	0.0517147815744144	1.59136488737559	0.000245755303636956	0.00088890053653442	29	0.152842086345883	0.123604061957106	0.0699936904903453	0.00982710025953323	0.0356737680723111
Chemokine signaling pathway	0.0521892821399933	1.56921966322963	0.000249030500507697	0.00088890053653442	72	0.118887688462354	0.0460831178325068	0.039796409438298	0.0362157947974983	0.0851188850498309
VEGF signaling pathway	0.0552898684647906	1.5782523042044	0.000259211483998304	0.00090524146091855	32	0.0722965835082601	0.0220873767103145	0.0946781593860807	0.0577112189730566	0.0802465406400865
Hepatocellular carcinoma	0.0558782600226662	1.56310950423924	0.000260653183299505	0.00090524146091855	68	0.0835322646896399	0.0296707263333651	0.0767771799297008	0.0899288189893408	0.0424855844400785
Proteoglycans in cancer	0.0522832518877371	1.55737343111467	0.000269217674380858	0.000922519230878407	91	0.206762961613435	0.0599695795265278	0.0451387892394483	0.0182972230011043	0.0568466140178808
Tight junction	0.05342467669466	1.55603831050668	0.000278146307051414	0.000940573696213335	70	0.0427420483412488	0.014250804512656	0.0780780705235698	0.147270141670199	0.0896821669847239
Citrate cycle (TCA cycle)	0.045885160233428	1.62583030034632	0.000324134557820545	0.00108185170597247	14	0.00346931787459981	0.0531036448493566	0.269437799570827	0.199513990348115	0.03193086296701
Phosphatidylinositol signaling system	0.0585862666037528	1.5413838082814	0.000335514889059849	0.00110547854472284	39	0.0494801018697774	0.0195653659264537	0.115779836962059	0.12313429503032	0.0621874992367786
Ribosome biogenesis in eukaryotes	0.0581934248900906	1.53580116114376	0.000354882721452127	0.00115449189130629	37	0.0807374727406381	0.100767467660478	0.100049761030606	0.0378544942377424	0.0331714585788146
Legionellosis	0.0581799248981742	1.53897761800606	0.000375387658471364	0.00120593285283926	27	0.143511943860151	0.0610649641106725	0.0395404319614051	0.0342896608447459	0.0887489492769749
Leishmaniasis	0.0564274616885806	1.5071652728587	0.000442637641473728	0.00140441819578701	43	0.0596067500663064	0.0265466696664423	0.0453957846644143	0.0393111876995832	0.311380564877278
Adherens junction	0.0584450428873573	1.49128164258037	0.000522961950065264	0.00163903928252162	35	0.037335454603728	0.0268167313902975	0.101071806092613	0.156038317910349	0.0916045085652863
Cell cycle	0.0667687114189311	1.45125988456304	0.000643139917312264	0.00198637495410323	61	0.112846087700966	0.0518444282988824	0.0342918220702505	0.0596640566220166	0.163433283069571
GnRH signaling pathway	0.0665152818225865	1.45592042315198	0.000649243175660199	0.00198637495410323	42	0.0805952326182681	0.0555949390117303	0.046052488992287	0.117218908219754	0.0926604501441563
Oxytocin signaling pathway	0.0690532779481403	1.42634591552012	0.000785287503942189	0.0023743398648605	57	0.0677773078733361	0.0428181992709233	0.0611396021098842	0.122083561999482	0.125571495028688
RNA polymerase	0.0719315638761753	1.44149368391211	0.000885927720324657	0.00264748167585392	18	0.0456614774986689	0.0193989220258723	0.0678684690824267	0.242529520413068	0.147970235066133
Aminoacyl-tRNA biosynthesis	0.0717669112330248	1.4274779952388	0.000926888493897193	0.00273804991875378	21	0.047330870041179	0.0690494577973104	0.075545663748562	0.29976314167381	0.0325004457240818
Osteoclast differentiation	0.0731080380882221	1.3946592371343	0.000985097431581364	0.00287693227177739	64	0.213313872231773	0.0642514325155561	0.051644187121017	0.0866377759857817	0.0532575959987942
Long-term depression	0.0837915552493399	1.40339010121644	0.00108154688909961	0.0031231185449281	18	0.102343473699896	0.071215516906941	0.0723542224008785	0.0877647802968024	0.0951818524588097
Chronic myeloid leukemia	0.0677837938740976	1.38991206200942	0.00109537930090503	0.00312791644813991	40	0.323410284583075	0.188954959703642	0.0384750069077705	0.0593897365541144	0.0146019367367192
Rheumatoid arthritis	0.063903308312052	1.38332122819851	0.00113989786426956	0.00321927199029976	46	0.08983434031956	0.0446171562490295	0.0100460396635522	0.10195273885277	0.426148947735847
Prion diseases	0.0823570833287221	1.4026803359218	0.00116837920110867	0.00326384189874922	15	0.0807104112527768	0.086526007760493	0.100625374518251	0.0933744429690024	0.074238819685066
Apelin signaling pathway	0.0797479509962497	1.36031344151206	0.00129569863502915	0.00358058655056443	48	0.169583033051652	0.133461928882928	0.0884152754778685	0.0391146639941873	0.0595639829299676
Circadian rhythm	0.0851501117581628	1.38444614327717	0.00152947471965015	0.00418164896755413	11	0.149807537496539	0.225308629691971	0.0969881115785213	0.0550030248212542	0.0265590598466411
Central carbon metabolism in cancer	0.0781196133826595	1.3417370355431	0.00159689930794038	0.00432003286463872	31	0.308052366806845	0.181283506389617	0.0584353803518246	0.0485864291732919	0.0253333034701703
Herpes simplex virus 1 infection	0.086721399767252	1.29839240868576	0.00189621843970391	0.00507633478129067	157	0.0569028333536971	0.0905068983097	0.195403548831838	0.0449571025981881	0.158583291244228
Insulin signaling pathway	0.0941230812689697	1.29330693661451	0.00201560187228631	0.00534030599152146	69	0.203428514321052	0.0762211551288988	0.108829749105489	0.0529193408147244	0.0934295172603258
Thyroid cancer	0.0912481429228792	1.3028179304961	0.00216092681932107	0.00566692033230118	22	0.151354116971934	0.174501770970864	0.0567056614974963	0.088221714279565	0.0695724451006887
Epithelial cell signaling in Helicobacter pylori infection	0.0977766091346666	1.28210126499725	0.00232767163732976	0.00604254152316918	30	0.0816310546382259	0.0679262889014391	0.122476292469704	0.102981297737949	0.155065298378003
cAMP signaling pathway	0.0957444013114758	1.26233786902179	0.00250507865155817	0.00643805213450449	72	0.194578886019853	0.186211671535374	0.0884840497398726	0.0409792519449901	0.0759883233896196
Neurotrophin signaling pathway	0.0934133681211991	1.26097519368811	0.00255005415456379	0.0064615299422648	64	0.193766312149714	0.0795379363867756	0.0454328417769635	0.12066433215483	0.12974074403379
Rap1 signaling pathway	0.0865768451290662	1.25937558769954	0.00256449826502339	0.0064615299422648	83	0.0712589461051938	0.046768607525025	0.125825938459687	0.168024935239383	0.157088329225715
Platelet activation	0.093199679953266	1.25713102263489	0.0026682643262448	0.00663206908091654	52	0.127439329047907	0.0587362472595582	0.189922430935958	0.0878458667925607	0.097957106338238
Vibrio cholerae infection	0.0962122623763682	1.26431580308115	0.0026837944918884	0.00663206908091654	28	0.048755387287864	0.046751472493492	0.125059964365876	0.274097803830872	0.127002531666782
Human papillomavirus infection	0.0930030907594833	1.24412942230612	0.00277700209861986	0.00679704323186004	138	0.241547802560497	0.0419033583639457	0.056104020452223	0.098515113912827	0.186225181335829
Transcriptional misregulation in cancer	0.0947994320630484	1.24555644838741	0.00281644243136226	0.00682854438547265	73	0.304439924396447	0.192315424511252	0.0683172490517964	0.0302027540912282	0.0745042190969287
AGE-RAGE signaling pathway in diabetic complications	0.0940292073074699	1.22907193907076	0.00325697803517854	0.00782283509384004	46	0.398722888526357	0.112194110312951	0.0376248722898707	0.0667629779345905	0.0912918179004188
Hematopoietic cell lineage	0.0992288834956778	1.22741170375481	0.00335088342338422	0.00797386147971985	36	0.102391740171449	0.0566352047391749	0.0452175897453889	0.166454926309854	0.291297956075423
Gap junction	0.104486139631321	1.22307241715177	0.00351543286638812	0.00828868116203437	28	0.201027334297443	0.235101599382266	0.0563381019560125	0.0774141342237692	0.0724225068300207
Focal adhesion	0.104115133560193	1.20016566076229	0.00378871100583926	0.00885180662273354	82	0.129756504935897	0.0692044351241885	0.133718491028087	0.142604408221652	0.118186033099625
NF-kappa B signaling pathway	0.107159091502488	1.16935306994799	0.00486084020125571	0.0112543777632677	39	0.130479466547473	0.03601792082372	0.123953718546593	0.133953794537836	0.275868007196969
Choline metabolism in cancer	0.114334837596713	1.14808636611458	0.00550970185693791	0.0126427980110093	39	0.258804152935639	0.10528473443846	0.0941724288709659	0.10727241705104	0.109615337270755
Parathyroid hormone synthesis, secretion and action	0.11757508159016	1.14267415582155	0.00570817377536472	0.0129823067280419	40	0.187510273192445	0.205822765205307	0.049277601360882	0.105554053904925	0.147774682317235
MicroRNAs in cancer	0.107757241449252	1.12766232701169	0.00609815493152736	0.0137475948894959	78	0.420506666430436	0.240988137766944	0.0385807072020455	0.059832434789888	0.0842246307853126
Mitophagy	0.108168650168647	1.11977363824517	0.00693001469243269	0.0154870763126539	29	0.434034967946124	0.24646721676521	0.0302517450780293	0.0976075968124682	0.0696365299760415
MAPK signaling pathway	0.114299946821278	1.09990883016399	0.00712674833642985	0.0157894338143317	125	0.38672312927128	0.205479974335838	0.032817876314957	0.104226629123374	0.101798472421044
Amyotrophic lateral sclerosis (ALS)	0.119663866091444	1.09538487050716	0.00804037199637269	0.0176613299407503	26	0.0793377369736175	0.0602039989107455	0.133276237720345	0.21371372946704	0.303224954927383
Autoimmune thyroid disease	0.127616649791269	1.08453477850457	0.00847760633954241	0.0184639392310373	26	0.165841727350783	0.108894320805864	0.121017759728873	0.0613443106775558	0.336384526416883
Cell adhesion molecules (CAMs)	0.129533848898371	1.07093630255567	0.00865489656624583	0.0186916673741612	61	0.0998358707290241	0.0961881185024691	0.284343087739306	0.118980875717781	0.162109763172324
Acute myeloid leukemia	0.119006564997548	1.07277244742326	0.00893225659200305	0.01898570607658	36	0.400034466210315	0.357034381912412	0.0878351622549464	0.0630304373741122	0.0365463152762654
Glucagon signaling pathway	0.129340687689826	1.06879488673549	0.00893879546796179	0.01898570607658	42	0.124900722526225	0.0450578953903298	0.177597553277732	0.171598260045561	0.281873968690543
RIG-I-like receptor signaling pathway	0.133700969498126	1.05727026900234	0.00984318964434797	0.0207352437589953	28	0.337912347649477	0.115289145699263	0.0459280885571977	0.0967529567528621	0.27023015528078
FoxO signaling pathway	0.114805058202796	1.04514129971589	0.0101916192001816	0.0212946840198916	64	0.549730828623513	0.266432661383668	0.0960761349999943	0.0276948300522996	0.0711572923138935
Inositol phosphate metabolism	0.140646533573387	1.03943879627748	0.0109751118054128	0.0227468043063798	27	0.152934520072175	0.0638836134204952	0.297662132259425	0.207659729905972	0.109209562906878
Adipocytokine signaling pathway	0.146209842424295	1.02908853134583	0.011396649868731	0.023431512130111	31	0.190508436417084	0.183537967501265	0.249775203524229	0.0615863523901927	0.136433506667297
p53 signaling pathway	0.143532576268477	1.00908380567585	0.0126969772594769	0.0258978028229013	38	0.308840643808997	0.213396592833216	0.0652140373178118	0.153274581230056	0.121066305608882
Oocyte meiosis	0.144167246111018	0.984782688566402	0.0143248195432163	0.0289880206504456	58	0.10334796093756	0.0951849227179889	0.186118687742975	0.160186798700605	0.331795656042417
Wnt signaling pathway	0.146802461527268	0.965412604720353	0.0160344749970283	0.0321942193299709	52	0.166297583147681	0.0771807386096615	0.0984406538794621	0.378216228801777	0.212065946984933
N-Glycan biosynthesis	0.150637452766552	0.960277916050259	0.0175652521740681	0.0349943396026008	22	0.151913311746004	0.09462926584736	0.110912852689805	0.369346587488568	0.207607154640448
mTOR signaling pathway	0.155068890083542	0.941806182690015	0.0180822119089823	0.0357471420046803	65	0.42631145099533	0.163142646820241	0.0888690501504264	0.109346348857414	0.173719801693383
Pertussis	0.142327482296134	0.948917667264167	0.0184015741927446	0.0361007982254609	27	0.080834853548936	0.0620948749930486	0.214076546767743	0.205645827099186	0.453074052857829
Retrograde endocannabinoid signaling	0.15830865929209	0.935423144725423	0.0189104742960247	0.0367363319685696	49	0.0612468331779179	0.0792362903087018	0.255689313038057	0.338939169360716	0.26856039208954
Insulin resistance	0.163237735334555	0.934697564434158	0.0190114091510496	0.0367363319685696	43	0.305196587255316	0.201092665667684	0.0924562030279904	0.111081159478244	0.228090536569664
Fc epsilon RI signaling pathway	0.165782521251443	0.918535654807575	0.0208909649269154	0.0400669998971438	37	0.312233882599868	0.12352200175039	0.227604147724882	0.136750729218151	0.143879803537542
Phospholipase D signaling pathway	0.158075038727214	0.914368823705454	0.0211210184310093	0.0402081610131066	54	0.436573982949521	0.246159274131666	0.134289946535328	0.139940492822479	0.0657098334344933
Intestinal immune network for IgA production	0.170960899632006	0.919909256571494	0.0213845036392115	0.0404104223182158	21	0.223170226867192	0.179187337966375	0.105628370103563	0.114711576482438	0.345233438211827
Small cell lung cancer	0.166980071647476	0.910693050191957	0.021833978294076	0.0409586308144346	35	0.376060054304825	0.309464331901806	0.0933445978895765	0.149258165611823	0.0905349324390261
Endometrial cancer	0.161684281307359	0.904524470772695	0.022863891034017	0.0425798550416113	30	0.445915034072727	0.283671936738487	0.145938448895521	0.133748305449825	0.0551753622435784
Cytosolic DNA-sensing pathway	0.167485334713386	0.888640291925269	0.0250637090616921	0.0463408145960783	25	0.1633891319005	0.059219496549189	0.0955860389879965	0.374585267334136	0.416310312180667
Amphetamine addiction	0.168362596558777	0.88221521131857	0.0257361775495081	0.0469198913095119	28	0.165906014807352	0.206978174574676	0.0875599011457707	0.258492417125406	0.286570565879083
Prolactin signaling pathway	0.15938538935128	0.881048615754993	0.0257420415355688	0.0469198913095119	33	0.534168810946059	0.235141840989698	0.151590376171286	0.11224872118907	0.0702389948986097
Melanoma	0.174742609485777	0.872646338627842	0.02678569974007	0.0484783438957604	32	0.388296328494075	0.307436690187925	0.194627657024375	0.165912499295872	0.0447589414024454
Ubiquitin mediated proteolysis	0.179180981567809	0.863268075905642	0.0272757867775569	0.0490201202925324	73	0.323745047069233	0.164933657425611	0.240508312177951	0.11553933153065	0.167322566595948
Breast cancer	0.178193075978427	0.840665847710205	0.0309046538074982	0.0551562224203267	50	0.493594349237977	0.237151825557891	0.0997542137994521	0.199408994546453	0.0937554415739628
Bladder cancer	0.194365771627052	0.826571057378385	0.0346496185055703	0.0614134617650453	17	0.420177811589615	0.250823858227088	0.139940851225433	0.206180467722109	0.0988612060622657
JAK-STAT signaling pathway	0.176859415268984	0.813660718578011	0.0351352598668711	0.0617057570122948	70	0.537349875331629	0.23510237682813	0.0812269386148548	0.242648588347505	0.0926541193929181
cGMP-PKG signaling pathway	0.197132603521767	0.811841803768118	0.0352947326101453	0.0617057570122948	69	0.269062378130268	0.220327142216143	0.326220697201211	0.131486903056794	0.138617308058305
Dopaminergic synapse	0.210244433708777	0.77673596005237	0.041987556519931	0.0729108244974478	50	0.192549349314245	0.161145898273995	0.293187968803647	0.22872865362428	0.236177042104515
Ras signaling pathway	0.205477364173535	0.758766100875812	0.0454375564265667	0.0783721610847492	86	0.361830831912516	0.190473942697612	0.212698580741713	0.236093521675553	0.150333486744431
