p.geomean	stat.mean	p.val	q.val	set.size	HAART_32.signal	HAART_31.signal	HAART_30.signal	HAART_29.signal	HAART_28.signal	HAART_27.signal	HAART_26.signal	HAART_25.signal	HAART_24.signal	HAART_23.signal	HAART_22.signal	HAART_21.signal	HAART_20.signal	HAART_19.signal	HAART_18.signal	HAART_17.signal	HAART_16.signal	HAART_15.signal	HAART_14.signal	HAART_13.signal	HAART_12.signal	HAART_11.signal	HAART_10.signal	HAART_09.signal	HAART_08.signal	HAART_07.signal	HAART_06.signal	HAART_05.signal	HAART_04.signal	HAART_03.signal	HAART_02.signal	HAART_01.signal
Cocaine addiction	0.0784441432657264	-1.42616525921506	8.5169095319306e-15	1.28755632335657e-13	14	0.146844969695296	0.0747802694196587	0.118259005801239	0.200416958158553	0.102343303723128	0.0654003960311421	0.0930208919791461	0.0471410359103637	0.0716019163985586	0.147791278771735	0.193438849819239	0.0623621440420727	0.0830019112178723	0.176846883385817	0.0901609312457937	0.147638891913665	0.133585497447338	0.111613989614386	0.0569426659582917	0.0777176006674433	0.135049256517992	0.129856486176163	0.109847753983108	0.03867095486232	0.094673035101473	0.0477853663201647	0.0676584380733705	0.0456910947920508	0.0407912841567231	0.0464258520200215	0.059079444016596	0.0361244977245042
MAPK signaling pathway	0.0701283408687849	-1.33885924875027	2.41362339034321e-14	3.44611784065669e-13	125	0.0330961889574627	0.0609749150931406	0.114907895730584	0.252147268448328	0.285637657590184	0.070721157772439	0.0179370388277466	0.215890890351842	0.0455497710497919	0.0317343782169913	0.10021854544424	0.139665054306848	0.0733878840509477	0.0342550033551476	0.0925619578778062	0.0328404184041042	0.0540176807870111	0.05435686451434	0.0588541773564653	0.16406602909798	0.0435608124700974	0.0418680613957567	0.0672993367864784	0.0114927148542956	0.105541871669865	0.235915460112469	0.0809444093559226	0.584202166281598	0.303432466447898	0.0758015361454745	0.0898176925682722	0.240901551221254
Oxytocin signaling pathway	0.0564343866193242	-1.33861750895829	4.19700055220687e-14	5.67699548377456e-13	57	0.0153132250657014	0.0125672634114124	0.0294561207003245	0.0622198918294068	0.335964080640191	0.364406268418731	0.00636455899369196	0.334678572578589	0.0553806177776098	0.02485268707202	0.0538086003975058	0.175444951376058	0.123605496576382	0.184697025277037	0.0639770864044916	0.0687696784541389	0.0114788369641455	0.0219852780748958	0.0185207334648679	0.0237769311828438	0.0139092272998881	0.0148967076592051	0.44740007611221	0.0114742203617188	0.12538684513348	0.592779311812266	0.218723409695963	0.914688616174803	0.433054239754367	0.0300350092243909	0.141056270638549	0.166589673108024
Th17 cell differentiation	0.0614154668650519	-1.31113804409374	1.31036059370423e-13	1.68381336290994e-12	57	0.0353551966259359	0.0383187207311898	0.0276216436455892	0.0665758652102003	0.189763359908809	0.195980355141249	0.0169243524507089	0.0994976240404698	0.0765657230949616	0.0234682947853637	0.183559015268482	0.111535909404212	0.0520010468438149	0.205826927878139	0.0776557932135249	0.128605794392967	0.0382201000517068	0.043793730491476	0.0318694642641533	0.0347507425029617	0.0612206927038987	0.0214730361981785	0.355675311871943	0.0131553200988011	0.026145307526301	0.702935230214631	0.0566778892154684	0.903934829492535	0.62770547317278	0.049743191795416	0.137810164219038	0.0996242467260659
Legionellosis	0.0637824131657425	-1.30449912616804	4.20802311784406e-13	5.14981876802821e-12	27	0.0218082485609992	0.0592495625350926	0.0167562641099198	0.0704611255785589	0.245355987247672	0.195182791756503	0.0414414872146931	0.111605746240599	0.137410530803825	0.0571722937678336	0.0323812422429762	0.151653318942647	0.143493683353002	0.296064709314934	0.126016656921274	0.0455863345204731	0.0420002436633204	0.0347140124549346	0.122067325842941	0.0273127289910214	0.0215367152638184	0.00815451171841532	0.126986440964328	0.0238055133891312	0.158359542862224	0.423618327790408	0.30550926710691	0.763758968647082	0.489128526821544	0.0400132600491559	0.203442618915914	0.148578710863674
Toll-like receptor signaling pathway	0.0851501990653671	-1.25570711743969	1.59840449000331e-12	1.86722706332204e-11	35	0.0363802807586163	0.0745331169420495	0.0306420001477156	0.106924019389528	0.206406994985775	0.143498436337316	0.0310851454994623	0.23135791162307	0.131738065924341	0.0386524705634732	0.144751092410657	0.13898123149744	0.0471798132750292	0.128251382439508	0.0758547851798501	0.0418551730535374	0.0571961540267438	0.0944803588608792	0.0651901413395833	0.0527303656763959	0.0570565553386283	0.047572293181499	0.211395029984527	0.028319728333193	0.115880221095735	0.414118623009073	0.113149097233336	0.652628747905741	0.420158895494202	0.139877097374209	0.213872524665406	0.0966404128816771
Kaposi sarcoma-associated herpesvirus infection	0.0488382556568346	-1.23282348839886	2.7084615253609e-12	3.02641135659891e-11	87	0.00568516051281585	0.0106354142928187	0.00496924595201757	0.032327547495004	0.296040436878535	0.485853197501782	0.00291784582383678	0.198595069700461	0.0799266220932355	0.00872958752101581	0.0976440705754749	0.175105467269036	0.125236197257967	0.292386218948722	0.0460718178492384	0.199942019420127	0.0225896899217878	0.0595425110302032	0.08164235169495	0.00787272439137089	0.0121380045391923	0.0124354994551008	0.368746483804027	0.00359443289263708	0.159628504562677	0.881058599215774	0.306576475286392	0.997567423192181	0.827129410221147	0.0359104928714489	0.247550545398017	0.0812593121217934
ErbB signaling pathway	0.0804537396615654	-1.23092965388301	3.58335728201895e-12	3.83717842282863e-11	40	0.0249100167969422	0.0317449164635321	0.0462569516201506	0.0829705530336097	0.323449029926863	0.307906489806767	0.0520987595735349	0.448494805610342	0.0669020529164737	0.0431883552468021	0.112434486091061	0.0428021404695557	0.0775076735372509	0.109173904216533	0.0865562117948697	0.262581921017348	0.0140765161323928	0.0196791700565896	0.0587055824658659	0.0183591443415686	0.0129465550126733	0.0338207261375126	0.168289245388614	0.0268389496492512	0.163406048550621	0.365471424609324	0.425800736829984	0.7991772186042	0.748442862081551	0.060884497964957	0.128531725184059	0.201170579487608
Epstein-Barr virus infection	0.0320469386871162	-1.18381283459182	1.87434392567798e-11	1.92682555559696e-10	110	0.002002869625626	0.00854516355540309	0.00853040032484908	0.0097178524624243	0.436924078952483	0.772103114029259	0.00129920811749509	0.49425387046055	0.120749774087099	0.00284326181845227	0.161439522433365	0.304971336243124	0.104233249645381	0.349024464697044	0.0744826198683933	0.317710443455827	0.00542822458084456	0.0102272575756101	0.0535488183027571	0.00104822679475569	0.0027672549411787	0.0113656223147625	0.477159299863847	0.00118375501169408	0.114572010905169	0.982946164931562	0.356462444027282	0.998919117075898	0.951351701633492	0.084249025539906	0.248949772864544	0.0658999277599478
Influenza A	0.0601855470103179	-1.17576249248491	2.31504996252396e-11	2.28833784757176e-10	86	0.0199893765086386	0.0740669062723847	0.0115028098768822	0.0660061824697003	0.261188244800212	0.346108528420363	0.0110730214953685	0.251688485110871	0.155594106338158	0.0271815099148318	0.0605173799459378	0.0690148559103338	0.0404638168483336	0.23598054086365	0.0388417716711083	0.122015574125621	0.0808004039799823	0.0368998393627208	0.10818427353607	0.0425218983863106	0.0626174394618887	0.0156342430313308	0.372225331098898	0.0178469843672773	0.142240838410824	0.813312362928093	0.177909724658598	0.981756015973733	0.799089668913392	0.0307797452690312	0.204827970846733	0.0704629394224886
Chronic myeloid leukemia	0.0933498422957259	-1.16584039119971	3.92091768530144e-11	3.73213275971285e-10	40	0.0556081301830533	0.0500578598472129	0.0726489967364075	0.114903896119732	0.169310188845512	0.125767877431633	0.180038029670225	0.415712640170775	0.0832728789259332	0.0634693595279147	0.153322802560282	0.0583007480489331	0.0937627050925726	0.169472808397019	0.0895033340439505	0.371489544975981	0.0404752610682838	0.0342310487679969	0.0398327263901414	0.0261967323047783	0.0290216060630136	0.0579288856729926	0.10063745110438	0.0332203741349145	0.157358552890748	0.320244708048847	0.292956354652293	0.774066679491831	0.744266703926393	0.0797597919404276	0.110527796840222	0.127666371648879
Choline metabolism in cancer	0.103024656508779	-1.16303271918946	4.33330451863458e-11	3.97735450460389e-10	39	0.0681628792585334	0.0614106476987709	0.070289477943362	0.156214372207466	0.265824830686806	0.295377193189815	0.046677562571076	0.341760251491527	0.065039437603665	0.0701019134328375	0.141289142719867	0.138076231661176	0.086461984661817	0.0658595460064319	0.0985293761565111	0.0842854060763485	0.0755308880840722	0.0495552810753754	0.127078554647976	0.0732277209247577	0.0302265464124414	0.0477633606019569	0.202591216203724	0.0521479565151596	0.0761374751959929	0.417961097566407	0.265472871715891	0.768362673485318	0.523750938603912	0.0578645395923857	0.0871785780306983	0.121402692318422
C-type lectin receptor signaling pathway	0.0758060713897659	-1.14678617625939	8.57399972145154e-11	7.59833768418292e-10	48	0.0159281990127616	0.0285818916463881	0.0118163937479612	0.092002900830091	0.379014311927859	0.133174515895774	0.0102001357956549	0.335372059465136	0.132402684028433	0.0349369463466804	0.11381809439191	0.127430771969983	0.0658608636964243	0.11579563816753	0.0864368116302269	0.140877770380339	0.0568762180901061	0.0363472546550756	0.0874827647964473	0.0386970491072482	0.0237464212938285	0.0137966218572392	0.360202586230068	0.0153530527339461	0.258578663017137	0.729611177500275	0.261688051141808	0.935356315451921	0.856787329739185	0.0973666645121875	0.340157701818884	0.184930911149983
B cell receptor signaling pathway	0.089515679669795	-1.14364813858849	1.09527514774495e-10	9.38285709901504e-10	37	0.0176797086111003	0.0972331172149538	0.0624913152702681	0.0771070549090022	0.306443835933245	0.275700167668345	0.027989689236073	0.326501721778761	0.0624910752259524	0.0396432364629561	0.168088959240479	0.234425596645664	0.0277767557481181	0.0512560634234068	0.097406854434652	0.149615686922784	0.0262474202187706	0.036731372511963	0.0715407460256806	0.0564064396354037	0.0241203461270159	0.0532382112726612	0.396810623610812	0.028256214422174	0.0827291046735246	0.898325821389739	0.189870974096402	0.89544956922839	0.558895557857698	0.160979148475336	0.145548944951578	0.146054931345496
Viral carcinogenesis	0.0366947574836036	-1.13422433783917	1.15640101515222e-10	9.58693744819743e-10	107	0.00148873862093903	0.0169397945173303	0.00656972981973944	0.0487551283536484	0.673510983473934	0.725285709056533	0.0058499765633227	0.35642964875985	0.0232441979116931	0.0100836958875979	0.215904408649589	0.337856784422928	0.266081052578657	0.633485216628324	0.0689826004587978	0.14437448581376	0.00291539192587842	0.010679097382848	0.0574764533119502	0.00184590854923227	0.00208460584594387	0.0387008354994269	0.665456001263841	0.000981553320566999	0.258236010904182	0.953610054773416	0.2358736980998	0.999171294494483	0.89261548877992	0.0617328996801695	0.151401982826913	0.0415592782045756
Human immunodeficiency virus 1 infection	0.0333171689232767	-1.12945903620071	1.47068685595927e-10	1.18114538119229e-09	103	0.000237191956245479	0.00983122518503129	0.0217922967965507	0.0211794850117603	0.680013281862555	0.674639056198696	0.00325991773483774	0.665298222350689	0.105418162453056	0.00673883534562289	0.204214560817212	0.334803860919443	0.145278477106244	0.324008424348146	0.0794001688378898	0.286102474195546	0.00568875185859246	0.0130896718357857	0.0272009711235493	0.00107973609450772	0.000840977004634066	0.0258724301841151	0.40085891248732	0.0014124846513934	0.132140675534112	0.985189014485856	0.220672340989605	0.999729986088581	0.95670505728101	0.0683308157768446	0.269640811784485	0.109674915649067
Small cell lung cancer	0.113572737852878	-1.12396489763125	1.73889269701328e-10	1.3542285549467e-09	35	0.119954326287934	0.0643923384227742	0.1348292783377	0.209010435753001	0.201341878229446	0.121417585923735	0.107058655037661	0.414815756947578	0.0871248785426904	0.0418996159566305	0.227232346270753	0.0824039759495788	0.140624901744178	0.32672045177447	0.245676095657408	0.129131008776954	0.0386079917443757	0.0410593193587558	0.0540586537374197	0.0248174402576769	0.0598342098183378	0.0782218392192425	0.107249761913268	0.0313716852363295	0.14834829395348	0.271558812683726	0.272844229850428	0.684330270599523	0.581160544469305	0.0558855171395411	0.124272580977423	0.0815053173781565
Th1 and Th2 cell differentiation	0.0826262517850657	-1.11235509544446	3.05323910832226e-10	2.30788956129065e-09	49	0.0339511151425357	0.0651254521941328	0.0529974576782795	0.0852817538134258	0.155015205757049	0.329867723186463	0.0446096336048409	0.15135295620772	0.153984028902675	0.0342702659569793	0.285886006641046	0.117738028748613	0.0715084361929704	0.158602357718678	0.05084780053267	0.204367581045928	0.0481811333992566	0.108689512535986	0.0761362411518883	0.0537233664697549	0.0940665811689526	0.0515945733926428	0.472053024289738	0.0252010055848139	0.0269945018969226	0.91251342409497	0.109346801121871	0.910966072039588	0.647714956067784	0.0691490420762711	0.124903610448776	0.0879592682223869
Fluid shear stress and atherosclerosis	0.08316862476956	-1.10166838652133	3.69053177481097e-10	2.70990476036119e-09	66	0.0140214767530234	0.0266914750642014	0.0299075209304684	0.0975440265820559	0.497264969353542	0.378854271774892	0.0144077969194102	0.260384973218042	0.0966803925879692	0.0417335341121908	0.127623159125685	0.165905572723627	0.0819975563798198	0.184941388861384	0.116401647463366	0.129138952187516	0.0585317850146731	0.0294765254937334	0.0515450746974377	0.0270446972590632	0.0352596792271733	0.0253648988458448	0.269076913571383	0.0271388879951041	0.198092982577305	0.831802579106192	0.25178804568201	0.895859740002133	0.58273275951056	0.169296521476759	0.245845362733713	0.279737306136918
Mitophagy	0.107887502313676	-1.10385876242606	4.4350045909648e-10	3.16610049966098e-09	29	0.0732687182069863	0.0648311766622337	0.0602414152138354	0.177906067149283	0.187321481184966	0.362532791329479	0.0955417407756092	0.46315456243758	0.144947330856056	0.107537374267242	0.187685706329828	0.112533840448386	0.128576449519089	0.198031738967077	0.0372050906256227	0.295787747666222	0.082741609220192	0.0921160812455529	0.0519751476648335	0.0425951633358668	0.088877996786041	0.190011496006707	0.274393527415692	0.0776802865477333	0.119075988005382	0.415643099165818	0.116744471882933	0.789226916298225	0.444736612869068	0.0255450324433083	0.0529341303381393	0.0183052366054439
AGE-RAGE signaling pathway in diabetic complications	0.109111368851481	-1.07670479199069	8.88374652350851e-10	6.17060231497753e-09	46	0.069067152265476	0.0510279524251445	0.0753116075028226	0.225526507891148	0.338009984614279	0.242505040568954	0.021487037739809	0.445626818138443	0.143575747562991	0.042678907062461	0.173754449357152	0.113406381889544	0.14621275624801	0.241681324832865	0.210572802680603	0.144479270794914	0.121345022172117	0.0707006502614855	0.0369636789477799	0.0527145493971923	0.0979765049774059	0.0623200144362965	0.25244892556776	0.0116084464759788	0.110812230663488	0.341145837055956	0.30132137228004	0.826331637568602	0.454029756743696	0.0563703906007093	0.169320634828332	0.111391496513888
NF-kappa B signaling pathway	0.116076132516879	-1.05485857204336	1.9476297111443e-09	1.31721272569496e-08	39	0.0437420759067925	0.0815878686979055	0.0174382862064468	0.108003062830355	0.270896814340931	0.297878387577931	0.080422925798227	0.551896995013216	0.115215402110477	0.0649164777273486	0.0741740617653853	0.135382546807835	0.0904660713456151	0.120340246005002	0.160803748938571	0.332306721182647	0.0527296708281015	0.0397145106006931	0.0733316290876513	0.0583588669883578	0.0623087853246415	0.0954918734399205	0.302098522396054	0.104867849926478	0.158886658921976	0.5574246680589	0.325357045115423	0.763976880165607	0.645956024416041	0.095012479975044	0.0611698913588925	0.120368937221964
Wnt signaling pathway	0.109542418188815	-1.01784520224219	6.12081436003099e-09	4.03345971930247e-08	52	0.0511039214262699	0.0720672189761234	0.0780353644677966	0.151391380457988	0.486333527374468	0.246072149345561	0.0184286752517878	0.135883012980907	0.0841017371376609	0.0663829410696257	0.128299064659697	0.132250774194395	0.201876526636108	0.251948016239946	0.141463143075824	0.144598208311222	0.0132509775234147	0.0482628652243451	0.146197703548186	0.0367419382004691	0.0381980947519048	0.0497908832195998	0.332843855136876	0.0853002249289021	0.205819921918359	0.591073005155412	0.286931171987551	0.830200966810256	0.878310880047749	0.0854527729391961	0.146613700485824	0.27192240374475
RNA transport	0.0542125085136961	-1.0152231855562	7.32612213025089e-09	4.7070334686862e-08	82	0.00822665767337748	0.0278678421044241	0.0439484107588855	0.0791463511551288	0.7511131956511	0.591468005097169	0.0040748483483904	0.0777679580185063	0.0803777481913791	0.0190528524898234	0.112354642774921	0.186612639223567	0.275363241155848	0.286544222148399	0.230040035505653	0.33036709011386	0.0177068809054609	0.00432801262526023	0.144535217413167	0.0349596451659776	0.0190567316039863	0.0237888729195041	0.117229613885672	0.0260806421737749	0.319045817523943	0.75335390833016	0.267931576281818	0.98133719607986	0.989851758891878	0.0391421010467277	0.379444968277071	0.245485766328232
