p.geomean	stat.mean	p.val	q.val	set.size	GSM155179.CEL	GSM155181.CEL	GSM155183.CEL	GSM155185.CEL	GSM155187.CEL
Breast cancer	0.0727563742139298	-1.42643071670194	0.000753314637838911	0.00894561132433706	87	0.169750462260033	0.0407717308736483	0.0886918341665055	0.0622538817319873	0.0650110227887702
Estrogen signaling pathway	0.0719505405314089	-1.41467813411724	0.000833574340227934	0.00950274747859845	78	0.0833186191969269	0.0506701473514739	0.114710656809141	0.1278126809085	0.0474753746057415
cAMP signaling pathway	0.0699417314494278	-1.39080168747522	0.000982417706947293	0.0107688094799992	114	0.0665477268747054	0.0712254924296638	0.0920221036699214	0.119079995404558	0.0742280600385017
Regulation of lipolysis in adipocytes	0.0758247841333296	-1.38459131228252	0.00113296564857031	0.0119590818460199	36	0.0472189022846586	0.0329317416768532	0.0996731437046687	0.251812837222482	0.0864992098761649
Morphine addiction	0.0753532488195661	-1.37363518964594	0.00118673993841624	0.0120793172303082	48	0.0238527468239525	0.065704241984874	0.0685254301413632	0.251805422013272	0.124820377515132
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	0.0574668582311042	-1.37139022734974	0.00133836445471635	0.013152892054971	37	0.0107280644521241	0.0324488556466638	0.437306431601039	0.217744648996188	0.0514885640646293
Phospholipase D signaling pathway	0.0668334029942897	-1.33985899379184	0.00146080226655975	0.0134942850706018	98	0.0858340292699206	0.0446205696905759	0.0273472932280752	0.290221124478853	0.132654156980732
Amoebiasis	0.0803425013074474	-1.34031271664593	0.00146779942873213	0.0134942850706018	64	0.0539837973426849	0.0642116533190919	0.0580035927149318	0.188377685905963	0.142856142909364
TGF-beta signaling pathway	0.0776718233888448	-1.32433132702381	0.00167033394626443	0.0148764117089176	60	0.0215234882236858	0.0834622169382957	0.0509645878520802	0.353099123314056	0.12634631364534
Gastric acid secretion	0.0840883591987263	-1.30898239603966	0.00191306629241056	0.0165219361617276	41	0.0667140534493091	0.0412767350272295	0.172474483959477	0.266004348731173	0.0483672859577867
IL-17 signaling pathway	0.0851394564582382	-1.2577612177982	0.00267196303090552	0.0223925872999691	58	0.195821180719842	0.110101349313207	0.13556755106801	0.0486660173325465	0.0826239120668421
Hippo signaling pathway	0.0911505921599315	-1.24841981758042	0.00274996686139971	0.0223925872999691	87	0.0350596263023	0.112200911624527	0.0340953988869878	0.285564653883224	0.214302747953141
Insulin resistance	0.10030427787688	-1.22779853673951	0.00317390707582143	0.025126764350253	73	0.16867809933	0.0995637141060989	0.0472967073946122	0.178001810923048	0.102990675297501
Melanogenesis	0.0938935431304615	-1.21875021222475	0.00343279174252192	0.0264417742329391	60	0.0458566510129099	0.0664611106898132	0.0719881258909391	0.450421362999439	0.102059205385357
Acute myeloid leukemia	0.105923878213641	-1.20777065850656	0.00367885824938966	0.0275914368704224	53	0.212281728192927	0.0325519950697543	0.147740719645735	0.0865033392556913	0.173283600741313
Ras signaling pathway	0.0816434419137064	-1.18244361543245	0.00426351374857802	0.031156446624224	136	0.0503899729234517	0.13717153441609	0.131860943688187	0.185133957472504	0.128382413767672
Bile secretion	0.100920440286817	-1.18446904507294	0.004512366044129	0.0320785185609362	34	0.0568874631006832	0.0734884240649192	0.0893257018593532	0.464843826322239	0.0847625052348371
Thyroid hormone synthesis	0.109524239762854	-1.17447601405599	0.00461480442455574	0.0320785185609362	47	0.048162993685508	0.0864227965774792	0.188818473343558	0.286957681378835	0.0883727024719143
Aldosterone-regulated sodium reabsorption	0.120804810621918	-1.17010434888516	0.00493899090243996	0.0324872962714616	26	0.192465576055388	0.136041862441345	0.101162801212481	0.128809770862826	0.0814923318261325
Gap junction	0.0994970657376664	-1.16306945962901	0.00495826571851069	0.0324872962714616	60	0.123316119855357	0.107107249549364	0.0857270517837183	0.225138067386614	0.106919504491963
Hepatocellular carcinoma	0.117333008192727	-1.15505162580173	0.00501558258226074	0.0324872962714616	115	0.240749108034235	0.142725344985826	0.066364811981633	0.0767531212391828	0.145805682249021
Arachidonic acid metabolism	0.0890417917195696	-1.15163984271326	0.00589884528951465	0.0373593535002594	28	0.0187322351416448	0.0712720625412918	0.587579208583072	0.206445657235126	0.068614920148072
Choline metabolism in cancer	0.112249079879341	-1.1137893066898	0.00671630195294945	0.039963040438166	65	0.248857275153327	0.0838460371055798	0.0779284256282277	0.192150245281976	0.118827788494343
HIF-1 signaling pathway	0.129995640686121	-1.1101034460841	0.00672798730173094	0.039963040438166	76	0.182620477237119	0.0920787305901775	0.136756218541095	0.219827394849066	0.077064515985142
Melanoma	0.126493631886337	-1.11336515277874	0.00673061733695428	0.039963040438166	50	0.119527121762312	0.199556033182249	0.067650275510064	0.157822223394683	0.15660145375753
Salivary secretion	0.116253489632618	-1.07991311038597	0.00839950346378305	0.0485572583131321	47	0.0723123742096061	0.0827612938935771	0.0562582291680919	0.562866434640785	0.141781200460726
Cortisol synthesis and secretion	0.124752543084017	-1.08038362620913	0.00851881724791791	0.0485572583131321	34	0.0696905819798898	0.0707967158462898	0.203210114320951	0.398326715723274	0.096946283956175
Pancreatic secretion	0.135749435862481	-1.04439982775821	0.0102094232243922	0.0564570098382824	51	0.0871294094146185	0.124571508720735	0.11358445772898	0.344126251117952	0.143558047830213
Inflammatory mediator regulation of TRP channels	0.130040257594114	-1.04341111131908	0.0103009281108445	0.0564570098382824	55	0.0783103658449018	0.154661493954402	0.0747164915200845	0.403283136404917	0.14516858549155
Fluid shear stress and atherosclerosis	0.140374776707986	-1.01789939965513	0.0116741607653131	0.0618907417192506	96	0.130688837415898	0.131000750870976	0.219335562212418	0.162260354546188	0.143158107915661
Complement and coagulation cascades	0.0987170803020204	-1.03424916229364	0.0118567954891288	0.0618907417192506	33	0.0176323609017032	0.0776336550764645	0.464746468367385	0.302508925489396	0.177419635917335
cGMP-PKG signaling pathway	0.129345889379895	-1.01453242691286	0.0119438273493291	0.0618907417192506	100	0.128122986274477	0.195584413550561	0.220067720880689	0.22370775943935	0.0634277161780717
TNF signaling pathway	0.129030411547225	-1.01146439846846	0.0122370071535262	0.0622776256920529	83	0.150006458923469	0.126878489005869	0.163845490164697	0.101630985190902	0.273751881953636
MicroRNAs in cancer	0.147178664724403	-1.00248952912045	0.0127201595798823	0.0636007978994116	111	0.162603936344501	0.0939476946310381	0.0777169717639765	0.305122452551839	0.221877992274907
ErbB signaling pathway	0.148767881845346	-0.996483070710368	0.0133497827270265	0.0655980702965959	62	0.255098032171342	0.162016683688224	0.0904112086584282	0.151819140694748	0.172779576175087
Neuroactive ligand-receptor interaction	0.0485675354545203	-1.00345896316867	0.0136871027135878	0.0661156656503819	125	0.000142689443968386	0.113185614822987	0.190631419565528	0.884143539811775	0.338894258002901
Carbohydrate digestion and absorption	0.159557450051331	-0.977350405052304	0.0155456066213077	0.0738416314512117	24	0.175692402903232	0.19492120624936	0.0928724658460054	0.232238220876464	0.164986326973397
Hedgehog signaling pathway	0.157459749475697	-0.96776589021794	0.0164118747035538	0.0766784309920135	24	0.288002931190971	0.119855684766622	0.18009829894479	0.179271331966376	0.114253042325368
Ferroptosis	0.165805238914067	-0.950221361746527	0.0176871347491871	0.081303764572876	31	0.190845577234064	0.127006235755317	0.11968535476004	0.193528904141449	0.25854889040686
Platelet activation	0.0952666048393886	-0.938273598541664	0.0188981076271826	0.0854914392658263	83	0.0737791010862346	0.116520630559409	0.414538670029022	0.282075534213802	0.112928702520899
Hematopoietic cell lineage	0.12805190844103	-0.917168694891135	0.0210904009592293	0.0931793329758196	60	0.0968104452888175	0.0795986394982631	0.544640913164576	0.168194953830143	0.162021820762876
Leukocyte transendothelial migration	0.124923130039567	-0.912786485251213	0.0214799239653247	0.0931793329758196	76	0.0758086261627465	0.154841595639695	0.193527837458813	0.242350131179706	0.304128139622996
Cholinergic synapse	0.159584237977783	-0.906921434770825	0.0218772157724221	0.0931793329758196	66	0.117439884410006	0.13601890718401	0.282890023438594	0.263514538267204	0.154862764131231
Small cell lung cancer	0.176309705459079	-0.903952237162241	0.0220398693899317	0.0931793329758196	73	0.313314656648251	0.128569630459267	0.259389205230843	0.135665851294422	0.127756400358601
Regulation of actin cytoskeleton	0.0934275934538673	-0.902681608538791	0.0223939594104263	0.0931793329758196	142	0.128486346696587	0.179705884889273	0.248465460827551	0.165177873286619	0.216461619163221
Adipocytokine signaling pathway	0.169052827002983	-0.901624444022014	0.0225592069309879	0.0931793329758196	51	0.233003557922025	0.14777132300027	0.185776376058062	0.130592514203185	0.245765063361032
Longevity regulating pathway	0.177357882801319	-0.892779434558019	0.0233743240863958	0.095166890923183	72	0.192129082961398	0.218065011309862	0.102612063654588	0.245786573761865	0.199575098510325
Circadian entrainment	0.155795962901688	-0.8931783150393	0.0238267552831971	0.0956426092353687	50	0.124690565848657	0.118453595696723	0.263254083816234	0.399127454010982	0.114130156330217
